Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Test Name (Streptococcus, group B)	PHVS_LabTestName_StreptococcusGroupB	2.16.840.1.114222.4.11.4211	9	lab tests associated with Streptococcus, group B
	Published	04/13/2018	RCMT v14.2

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
20488-3	Gp B Strep Ag CSF Ql	Streptococcus agalactiae Ag [Presence] in Cerebral spinal fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
14323-0	Gp B Strep Ag CSF Ql LA	Streptococcus agalactiae Ag [Presence] in Cerebral spinal fluid by Latex agglutination		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
41508-3	Gp B Strep Ag Fld Ql	Streptococcus agalactiae Ag [Presence] in Body fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
31967-3	Gp B Strep Ag Throat Ql	Streptococcus agalactiae Ag [Presence] in Throat		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
6551-6	Gp B Strep Ag Throat Ql IF	Streptococcus agalactiae Ag [Presence] in Throat by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
24020-0	Gp B Strep Ag Ur Ql	Streptococcus agalactiae Ag [Presence] in Urine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
40784-1	Gp B Strep Ag Vag Ql	Streptococcus agalactiae Ag [Presence] in Vaginal fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
11266-4	Gp B Strep Ag XXX Ql	Streptococcus agalactiae Ag [Presence] in Unspecified specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
20459-4	Gp B Strep Ag XXX Ql LA	Streptococcus agalactiae Ag [Presence] in Unspecified specimen by Latex agglutination		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
52968-5	Gp B Strep Anal Ql Cult	Streptococcus agalactiae [Presence] in Anal by Organism specific culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
581-9	Gp B Strep Cvx Ql Cult	Streptococcus agalactiae [Presence] in Cervix by Organism specific culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
92951-3	Gp B Strep DNA BAL NAA+non-prb-NCncRng	Streptococcus agalactiae DNA [NCncRange] in Bronchoalveolar lavage Qualitative by NAA with non-probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
92773-1	Gp B Strep DNA Bld Pos Ql NAA+probe	Streptococcus agalactiae DNA [Presence] by NAA with probe detection in Positive blood culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
82186-8	Gp B Strep DNA CSF Ql NAA+non-probe	Streptococcus agalactiae DNA [Presence] in Cerebral spinal fluid by NAA with non-probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
91847-4	Gp B Strep DNA Genital Ql NAA+probe	Streptococcus agalactiae DNA [Presence] in Genital specimen by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
92950-5	Gp B Strep DNA Spt NAA+non-prb-NCncRng	Streptococcus agalactiae DNA [NCncRange] in Sputum Qualitative by NAA with non-probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
90272-6	Gp B Strep DNA Vag Ql NAA+probe	Streptococcus agalactiae DNA [Presence] in Vaginal fluid by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
91875-5	Gp B Strep DNA Vag+Rectum Ql NAA+probe	Streptococcus agalactiae DNA [Presence] in Vag+Rectum by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
48683-7	Gp B Strep DNA XXX Ql NAA+probe	Streptococcus agalactiae DNA [Presence] in Unspecified specimen by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
583-5	Gp B Strep Gen lochia Ql Cult	Streptococcus agalactiae [Presence] in Genital lochia by Organism specific culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
582-7	Gp B Strep Genital Ql Cult	Streptococcus agalactiae [Presence] in Genital specimen by Organism specific culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
5034-4	Gp B Strep rRNA XXX Ql Probe	Streptococcus agalactiae rRNA [Presence] in Unspecified specimen by Probe		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
585-0	Gp B Strep Throat Ql Cult	Streptococcus agalactiae [Presence] in Throat by Organism specific culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
584-3	Gp B Strep Vag Ql Cult	Streptococcus agalactiae [Presence] in Vaginal fluid by Organism specific culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
72607-5	Gp B Strep Vag+Rectum Ql Cult	Streptococcus agalactiae [Presence] in Vag+Rectum by Organism specific culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
586-8	Gp B Strep XXX Ql Cult	Streptococcus agalactiae [Presence] in Unspecified specimen by Organism specific culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
76610-5	S agalact cfb # XXX.body fld NAA+probe	Streptococcus agalactiae cfb gene [#/volume] in XXX.body fluid by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
76582-6	S agalact cfb XXX.swab Ql NAA+probe	Streptococcus agalactiae cfb gene [Presence] in XXX.swab by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
76597-4	S agalact cfb XXX.tiss NAA+probe	Streptococcus agalactiae cfb gene [#/mass] in XXX.tissue by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
88273-8	S agalactiae hsp60 Bld Pos Ql Probe	Streptococcus agalactiae hsp60 gene [Presence] by Probe in Positive blood culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
62493-2	S pn+HFLU+S agal DNA XXX NAA+pr	Streptococcus pneumoniae DNA and Haemophilus influenza DNA and Streptococcus agalactiae DNA [Identifier] in Unspecified specimen by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
