Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Test Name (TB Antimicrobial susceptibility test)	PHVS_LabTestName_TBAntimicrobialSusceptibilityTest	2.16.840.1.114222.4.11.4258	8	lab tests associated with Tuberculosis Antimicrobial susceptibility testing
	Published	09/01/2019	RCMT 14.2

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
60564-2	Amikacin 1 ug/mL Islt SlowMyco	Amikacin 1 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
48169-7	Amikacin 1.5 ug/mL Islt SlowMyco	Amikacin 1.5 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
25177-7	Amikacin 12 ug/mL Islt SlowMyco	Amikacin 12 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
25175-1	Amikacin 16 ug/mL Islt SlowMyco	Amikacin 16 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
42642-9	Amikacin 2 ug/mL Islt SlowMyco	Amikacin 2 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
25178-5	Amikacin 30 ug/mL Islt SlowMyco	Amikacin 30 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
25176-9	Amikacin 32 ug/mL Islt SlowMyco	Amikacin 32 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
60565-9	Amikacin 4 ug/mL Islt SlowMyco	Amikacin 4 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
25179-3	Amikacin 6 ug/mL Islt SlowMyco	Amikacin 6 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
25174-4	Amikacin 8 ug/mL Islt SlowMyco	Amikacin 8 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
6975-7	Amikacin Islt E-test	Amikacin [Susceptibility] by Gradient strip (E-test)		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
12-5	Amikacin Islt MIC	Amikacin [Susceptibility] by Minimum inhibitory concentration (MIC)		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
20373-7	Amikacin Islt SlowMyco	Amikacin [Susceptibility] by Method for Slow-growing mycobacteria		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
18860-7	Amikacin Susc Islt	Amikacin [Susceptibility]		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
25210-6	Capreomycin 10 ug/mL Islt SlowMyco	Capreomycin 10 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
25211-4	Capreomycin 20 ug/mL Islt SlowMyco	Capreomycin 20 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
48170-5	Capreomycin 3 ug/mL Islt SlowMyco	Capreomycin 3 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
25212-2	Capreomycin 30 ug/mL Islt SlowMyco	Capreomycin 30 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
61355-4	Capreomycin 5 ug/mL Islt SlowMyco	Capreomycin 5 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
55623-3	Capreomycin Islt E-test	Capreomycin [Susceptibility] by Gradient strip (E-test)		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
56-2	Capreomycin Islt MIC	Capreomycin [Susceptibility] by Minimum inhibitory concentration (MIC)		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
23607-5	Capreomycin Islt SlowMyco	Capreomycin [Susceptibility] by Method for Slow-growing mycobacteria		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
18872-2	Capreomycin Susc Islt	Capreomycin [Susceptibility]		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
90849-1	Cefpodoxime 4 ug/mL Islt SlowMyco	Cefpodoxime 4 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
90850-9	Ceftazidime 1 ug/mL Islt SlowMyco	Ceftazidime 1 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
55194-5	Ciprofloxacin 1 ug/mL Islt SlowMyco	Ciprofloxacin 1 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
25180-1	Ciprofloxacin 2 ug/mL Islt SlowMyco	Ciprofloxacin 2 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
25181-9	Ciprofloxacin 4 ug/mL Islt SlowMyco	Ciprofloxacin 4 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
25189-2	Ciprofloxacin 5 ug/mL Islt SlowMyco	Ciprofloxacin 5 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
25188-4	Ciprofloxacin 8 ug/mL Islt SlowMyco	Ciprofloxacin 8 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
