Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Test Name (Tetanus)	PHVS_LabTestName_Tetanus	2.16.840.1.114222.4.11.4213	2	lab tests associated with Tetanus
	Published	06/09/2017	Value set updated based on RCMT v12 update.

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
40711-4	C tetani Ab Ser IA-aCnc	Clostridium tetani Ab [Units/volume] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
5093-0	C tetani Ab Ser Ql	Clostridium tetani Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
5092-2	C tetani Ab Ser-aCnc	Clostridium tetani Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
16626-4	C tetani Ab sp1 Ser-aCnc	Clostridium tetani Ab [Units/volume] in Serum --1st specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
16627-2	C tetani Ab sp2 Ser-aCnc	Clostridium tetani Ab [Units/volume] in Serum --2nd specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
6367-7	C tetani IgG Ser IA-aCnc	Clostridium tetani IgG Ab [Units/volume] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
33469-8	C tetani IgG Ser Ql	Clostridium tetani IgG Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
22203-4	C tetani IgG Ser-aCnc	Clostridium tetani IgG Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
47296-9	C tetani Toxoid Ab 2:1 Ser-Rto	Clostridium tetani toxoid Ab [Ratio] in Serum --2nd specimen/1st specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
41483-9	C tetani Toxoid Ab Ser IA-aCnc	Clostridium tetani toxoid Ab [Units/volume] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
26643-7	C tetani Toxoid Ab Ser Ql	Clostridium tetani toxoid Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
32775-9	C tetani Toxoid Ab Ser-aCnc	Clostridium tetani toxoid Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
58770-9	C tetani Toxoid IgG Ser IF-aCnc	Clostridium tetani toxoid IgG Ab [Units/volume] in Serum by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
53935-3	C tetani Toxoid IgG SerPl IA-aCnc	Clostridium tetani toxoid IgG Ab [Units/volume] in Serum or Plasma by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
48653-0	C tetani Toxoid IgG sp1 Ser IA-aCnc	Clostridium tetani toxoid IgG Ab [Units/volume] in Serum by Immunoassay --1st specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
49191-0	C tetani Toxoid IgG sp1 Ser-aCnc	Clostridium tetani toxoid IgG Ab [Units/volume] in Serum --1st specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
48652-2	C tetani Toxoid IgG sp2 Ser IA-aCnc	Clostridium tetani toxoid IgG Ab [Units/volume] in Serum by Immunoassay --2nd specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
49192-8	C tetani Toxoid IgG sp2 Ser-aCnc	Clostridium tetani toxoid IgG Ab [Units/volume] in Serum --2nd specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
43054-6	Deprecated C tetani Tox Ab Ser-aCnc	Deprecated Clostridium tetani toxin Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
49884-0	LPT TT 7D Bld-Rto	Lymphocyte proliferation stimulated by tetanus toxoid [Ratio] in Blood --7 day post incubation		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
