Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Test Name (Trichinellosis)	PHVS_LabTestName_Trichinellosis	2.16.840.1.114222.4.11.4215	4	lab tests associated with Trichinellosis
	Published	04/13/2018	RCMT V13

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
22597-9	Deprecated T spiralis IgA Ser Ql	Deprecated Trichinella spiralis IgA Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
22598-7	Deprecated T spiralis IgM Ser Ql	Deprecated Trichinella spiralis IgM Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
41426-8	T spiralis Ab Ser IA-aCnc	Trichinella spiralis Ab [Units/volume] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
22595-3	T spiralis Ab Ser Ql	Trichinella spiralis Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
19253-4	T spiralis Ab Ser Ql IA	Trichinella spiralis Ab [Presence] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
17732-9	T spiralis Ab Ser Ql LA	Trichinella spiralis Ab [Presence] in Serum by Latex agglutination		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
8042-4	T spiralis Ab Ser-aCnc	Trichinella spiralis Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
22596-1	T spiralis Ab Titr Ser	Trichinella spiralis Ab [Titer] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
25993-7	T spiralis Ab Titr Ser IF	Trichinella spiralis Ab [Titer] in Serum by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
5395-9	T spiralis Ab Titr Ser LA	Trichinella spiralis Ab [Titer] in Serum by Latex agglutination		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
87985-8	T spiralis DNA Tiss Ql NAA+probe	Trichinella spiralis DNA [Presence] in Tissue by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
17733-7	T spiralis IgA Ser Ql	Trichinella spiralis IgA Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
13922-0	T spiralis IgA Ser Ql IA	Trichinella spiralis IgA Ab [Presence] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
25423-5	T spiralis IgG Ser IA-aCnc	Trichinella spiralis IgG Ab [Units/volume] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
8043-2	T spiralis IgG Ser Ql	Trichinella spiralis IgG Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
6563-1	T spiralis IgG Ser Ql IA	Trichinella spiralis IgG Ab [Presence] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
17734-5	T spiralis IgG Ser-aCnc	Trichinella spiralis IgG Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
53387-7	T spiralis IgG Titr Ser	Trichinella spiralis IgG Ab [Titer] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
52979-2	T spiralis IgG Titr Ser IF	Trichinella spiralis IgG Ab [Titer] in Serum by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
17735-2	T spiralis IgM Ser Ql	Trichinella spiralis IgM Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
13923-8	T spiralis IgM Ser Ql IA	Trichinella spiralis IgM Ab [Presence] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
23499-7	T spiralis Tiss Ql Micro	Trichinella spiralis [Presence] in Tissue by Light microscopy		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
26661-9	Trichinella Ab Ser Ql	Trichinella sp Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
33587-7	Trichinella IgA Ser-aCnc	Trichinella sp IgA Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
32723-9	Trichinella IgG Ser IA-aCnc	Trichinella sp IgG Ab [Units/volume] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
56992-1	Trichinella IgG Ser Ql IF	Trichinella sp IgG Ab [Presence] in Serum by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
32768-4	Trichinella IgG Ser-aCnc	Trichinella sp IgG Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
27426-6	Trichinella IgM Ser IA-aCnc	Trichinella sp IgM Ab [Units/volume] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
31687-7	Trichinella IgM Ser-aCnc	Trichinella sp IgM Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
