Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Test Name (Typhoid Fever)	PHVS_LabTestName_TyphoidFever	2.16.840.1.114222.4.11.4218	3	lab tests associated with Typhoid Fever
	Published	06/14/2011	Initial Import for : FB524C39-DF96-E011-A0BD-00188B39829B

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
22530-0	Deprecated S typhi d Ab Ser Ql	Deprecated Salmonella typhi H D Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
22528-4	Deprecated S typhi D Ab Ser Ql	Deprecated Salmonella typhi O D Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
41126-4	Deprecated S typhi O D Ab Ser Ql	Deprecated Salmonella typhi O D Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
22529-2	S typhi H Ab Ser Ql	Salmonella typhi H Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
5345-4	S typhi H Ab Ser Ql LA	Salmonella typhi H Ab [Presence] in Serum by Latex agglutination		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
42960-5	S typhi H Ab Titr Ser	Salmonella typhi H Ab [Titer] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
34371-5	S typhi H Ab Titr Ser Aggl	Salmonella typhi H Ab [Titer] in Serum by Agglutination		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
13284-5	S typhi H d Ab Ser Ql	Salmonella typhi H D Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
17565-3	S typhi H d Ab Ser Ql LA	Salmonella typhi H D Ab [Presence] in Serum by Latex agglutination		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
31621-6	S typhi H d Ab Ser-aCnc	Salmonella typhi H D Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
14227-3	S typhi H d Ab Titr Ser	Salmonella typhi H D Ab [Titer] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
47388-4	S typhi H d Ab Titr Ser Aggl	Salmonella typhi H D Ab [Titer] in Serum by Agglutination		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
53956-9	S typhi Islt Aggl	Salmonella typhi [Identifier] in Isolate by Agglutination		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
17566-1	S typhi O Ab Ser Ql	Salmonella typhi O Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
5346-2	S typhi O Ab Ser Ql LA	Salmonella typhi O Ab [Presence] in Serum by Latex agglutination		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
42959-7	S typhi O Ab Titr Ser	Salmonella typhi O Ab [Titer] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
34372-3	S typhi O Ab Titr Ser Aggl	Salmonella typhi O Ab [Titer] in Serum by Agglutination		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
13285-2	S typhi O D Ab Ser Ql	Salmonella typhi O D Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
17564-6	S typhi O D Ab Ser Ql LA	Salmonella typhi O D Ab [Presence] in Serum by Latex agglutination		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
31622-4	S typhi O D Ab Ser-aCnc	Salmonella typhi O D Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
46204-4	S typhi O D Ab Titr Ser	Salmonella typhi O D Ab [Titer] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
23930-1	S typhi O D Ab Titr Ser Aggl	Salmonella typhi O D Ab [Titer] in Serum by Agglutination		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
23931-9	S typhi O D Titr Ser IF	Salmonella typhi O D [Titer] in Serum by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
57769-2	S typhi O Vi Ab Ser Ql	Salmonella typhi O Vi Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
