Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Test Name (Vancomycin resistant Enterococcus)	PHVS_LabTestName_VancomycinResistantEnterococcus	2.16.840.1.114222.4.11.4221	8	lab tests associated with Vancomycin resistant Enterococcus
	Published	04/13/2018	RCMT V13

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
74742-8	Deprecated vanA Bld Pos Ql Prb Mag	Deprecated Vancomycin resistance vanA gene [Presence] by Nucleic acid capture and probe detection in Positive blood culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
74741-0	Deprecated vanB Bld Pos Ql Prb Mag	Deprecated Vancomycin resistance vanB gene [Presence] by Nucleic acid capture and probe detection in Positive blood culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
69379-6	van(A+B+C1+C2) genes Islt NAA+probe	Vancomycin resistance vanA + vanB + vanC1 + vanC2 genes [Identifier] by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
88252-2	vanA Bld Pos Ql Probe	Vancomycin resistance vanA gene [Presence] by Probe in Positive blood culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
48814-8	vanA XXX Ql NAA+probe	Vancomycin resistance vanA gene [Presence] in Unspecified specimen by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
85787-0	vanA+vanB Bld Pos Ql NAA+non-probe	Vancomycin resistance vanA + vanB genes [Presence] by NAA with non-probe detection in Positive blood culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
62261-3	vanA+vanB XXX Ql NAA+probe	Vancomycin resistance vanA + vanB genes [Presence] in Unspecified specimen by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
88253-0	vanB Bld Pos Ql Probe	Vancomycin resistance vanB gene [Presence] by Probe in Positive blood culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
72421-1	vanB Islt Ql NAA+probe	Vancomycin resistance vanB gene [Presence] by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
72837-8	vanC1 Islt Ql NAA+probe	Vancomycin resistance vanC1 gene [Presence] by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
72836-0	vanC2+vanC3 Islt Ql NAA+probe	Vancomycin resistance vanC2+vanC3 genes [Presence] by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
75753-4	vanD XXX Ql NAA+probe	Vancomycin resistance vanD gene [Presence] in Unspecified specimen by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
59150-3	VRE Anal Ql Cult	Vancomycin resistant enterococcus [Presence] in Anal by Organism specific culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
59152-9	VRE DNA XXX Ql NAA+probe	Vancomycin resistant enterococcus DNA [Presence] in Unspecified specimen by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
59151-1	VRE Ur Ql Cult	Vancomycin resistant enterococcus [Presence] in Urine by Organism specific culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
13316-5	VRE XXX Ql Cult	Vancomycin resistant enterococcus [Presence] in Unspecified specimen by Organism specific culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
