Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Test Name (Non-Cholera Vibrio)	PHVS_LabTestName_VibriosisNonCholera	2.16.840.1.114222.4.11.4224	4	lab tests associated with Non-Cholera Vibrio
	Published	02/18/2016	RCMT 14.2

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
82200-7	V chol+para+vul DNA Stl Ql Non-probe PCR	Vibrio cholerae+parahaemolyticus+vulnificus DNA [Presence] in Stool by Target amplification with non-probe based detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
79384-4	V chol+parahae rfbL+trkH+tnaA Stl Ql PCR	Vibrio cholerae+parahaemolyticus rfbL+trkH+tnaA genes [Presence] in Stool by Probe and target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
82201-5	V cholerae DNA Stl Ql Non-probe PCR	Vibrio cholerae DNA [Presence] in Stool by Target amplification with non-probe based detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
41857-4	V parahaem DNA XXX Ql PCR	Vibrio parahaemolyticus DNA [Presence] in Unspecified specimen by Probe & target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
6578-9	Vibrio Bld Cult	Vibrio sp identified in Blood by Organism specific culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
92686-5	Vibrio cholerae+parahaemolyticus+vulnificus DNA	Vibrio cholerae+parahaemolyticus+vulnificus DNA [Presence] in Stool by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
49609-1	Vibrio DNA XXX PCR	Vibrio sp DNA [Identifier] in Unspecified specimen by Probe & target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
6579-7	Vibrio Stl Cult	Vibrio sp identified in Stool by Organism specific culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
6580-5	Vibrio Wat Cult	Vibrio sp identified in Water by Organism specific culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
6581-3	Vibrio XXX Cult	Vibrio sp identified in Unspecified specimen by Organism specific culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
