Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Test Name (Viral Hemorrhagic Fever)	PHVS_LabTestName_ViralHemorrhagicFever	2.16.840.1.114222.4.11.4225	3	lab tests associated with Viral Hemorrhagic Fever
	Published	01/06/2015	v3

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
41621-4	Arenavirus RNA XXX Ql PCR	Arenavirus RNA [Presence] in Unspecified specimen by Probe & target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
11581-6	EBOV Ab Ser-aCnc	Ebola virus Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
22263-8	EBOV Ab Titr Ser	Ebola virus Ab [Titer] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
7862-6	EBOV Ab Titr Ser IF	Ebola virus Ab [Titer] in Serum by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
71768-6	EBOV Ag XXX Ql EIA	Ebola virus Ag [Presence] in Unspecified specimen by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
41637-0	EBOV Ag XXX Ql IF	Ebola virus Ag [Presence] in Unspecified specimen by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
71770-2	EBOV IgG Ser Ql EIA	Ebola virus IgG Ab [Presence] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
71767-8	EBOV IgG Titr Ser EIA	Ebola virus IgG Ab [Titer] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
71712-4	EBOV IgM Ser Ql EIA	Ebola virus IgM Ab [Presence] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
71711-6	EBOV IgM Titr Ser EIA	Ebola virus IgM Ab [Titer] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
75411-9	EBOV RNA Pl/Bld Ql PCR	Ebola Zaire virus RNA [Presence] in Plasma or Blood by Probe and target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
41636-2	EBOV RNA XXX Ql PCR	Ebola virus RNA [Presence] in Unspecified specimen by Probe & target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
31395-7	Filovirus Ab Ser-aCnc	Filovirus Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
24416-0	Filovirus Ab Titr Ser	Filovirus Ab [Titer] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
22371-9	JUNV Ab Ser Ql	Junin virus Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
7937-6	JUNV Ab Ser Ql EIA	Junin virus Ab [Presence] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
11607-9	JUNV Ab Ser-aCnc	Junin virus Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
31867-5	LASV Ag Ser Ql	Lassa virus Ag [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
7946-7	LASV Ag Ser Ql EIA	Lassa virus Ag [Presence] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
22377-6	LASV IgG Ser Ql	Lassa virus IgG Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
7942-6	LASV IgG Ser Ql EIA	Lassa virus IgG Ab [Presence] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
31452-6	LASV IgG Ser-aCnc	Lassa virus IgG Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
22378-4	LASV IgG Titr Ser	Lassa virus IgG Ab [Titer] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
71710-8	LASV IgG Titr Ser EIA	Lassa virus IgG Ab [Titer] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
7943-4	LASV IgG Titr Ser IF	Lassa virus IgG Ab [Titer] in Serum by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
22379-2	LASV IgM Ser Ql	Lassa virus IgM Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
7944-2	LASV IgM Ser Ql EIA	Lassa virus IgM Ab [Presence] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
31453-4	LASV IgM Ser-aCnc	Lassa virus IgM Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
22380-0	LASV IgM Titr Ser	Lassa virus IgM Ab [Titer] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
71709-0	LASV IgM Titr Ser EIA	Lassa virus IgM Ab [Titer] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
7945-9	LASV IgM Titr Ser IF	Lassa virus IgM Ab [Titer] in Serum by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
71708-2	MARV Ag XXX Ql EIA	Marburg virus Ag [Presence] in Unspecified specimen by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
71769-4	MARV IgG Ser Ql EIA	Marburg virus IgG Ab [Presence] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
71707-4	MARV IgG Titr Ser EIA	Marburg virus IgG Ab [Titer] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
71771-0	MARV IgM Ser Ql EIA	Marburg virus IgM Ab [Presence] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
71706-6	MARV IgM Titr Ser EIA	Marburg virus IgM Ab [Titer] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
41638-8	MARV RNA XXX Ql PCR	Marburg virus RNA [Presence] in Unspecified specimen by Probe & target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
69766-4	MuV IgM Fld Ql EIA	Mumps virus IgM Ab [Presence] in Body fluid by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
