Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Test Name (Virus)	PHVS_LabTestName_Virus	2.16.840.1.114222.4.11.4256	8	lab tests associated with Virus
	Published	09/01/2019	RCMT 14.2

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
6582-1	Deprecated Vir Incl Bod XXX Tzanck Smear	Deprecated Microscopic observation [Identifier] in Unspecified specimen by Tzanck smear		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
50219-5	Resp path 12a Pnl XXX NAA+probe	Respiratory pathogens DNA and RNA 12a panel - Unspecified specimen by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
60566-7	Resp path 12b Pnl XXX NAA+probe	Respiratory pathogens DNA and RNA 12b panel - Unspecified specimen by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
76091-8	Resp path 4 Pnl Nph NAA+probe	Respiratory pathogens DNA and RNA 4 panel - Nasopharynx by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
77029-7	Resp path DNA+RNA 14 pnl Nph NAA+probe	Respiratory pathogens DNA and RNA 14 panel - Nasopharynx by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
76771-5	Resp path RNA 8 panel XXX NAA+probe	Respiratory pathogens RNA 8 panel - Unspecified specimen by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
54245-6	Resp virus Ag XXX IF	Respiratory virus Ag [Identifier] in Unspecified specimen by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
50548-7	Resp virus DNA+RNA XXX NAA+probe	Respiratory virus DNA+RNA [Identifier] in Unspecified specimen by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
55101-0	Respiratory path Pnl XXX Cult	Respiratory pathogens panel - Unspecified specimen by Organism specific culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
32186-9	Tzanck Smear Penis	Microscopic observation [Identifier] in Penis by Tzanck smear		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
32187-7	Tzanck Smear Skin	Microscopic observation [Identifier] in Skin by Tzanck smear		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
45043-7	Tzanck Smear XXX	Microscopic observation [Identifier] in Unspecified specimen by Tzanck smear		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
10735-9	Viral Seq Ser Seq	Viral sequencing [Identifier] in Serum by Sequencing		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
11484-3	Virus Amn Cult	Virus identified in Amniotic fluid by Culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
5883-4	Virus Bld Cult	Virus identified in Blood by Culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
14489-9	Virus Bld IF	Virus identified in Blood by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
5884-2	Virus CSF Cult	Virus identified in Cerebral spinal fluid by Culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
10736-7	Virus CSF EM	Virus identified in Cerebral spinal fluid by Electron microscopy		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
14488-1	Virus CSF IF	Virus identified in Cerebral spinal fluid by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
14452-7	Virus Cvx Cult	Virus identified in Cervix by Culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
14493-1	Virus Cvx IF	Virus identified in Cervix by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
14451-9	Virus Eye Cult	Virus identified in Eye by Culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
14492-3	Virus Eye IF	Virus identified in Eye by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
40479-8	Virus Fld Cult	Virus identified in Body fluid by Culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
40480-6	Virus Genital Cult	Virus identified in Genital specimen by Culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
42808-6	Virus Islt	Virus identified in Isolate		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
6608-4	Virus Islt Cult	Virus identified in Isolate by Culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
615-5	Virus Islt Viral Subtyping	Virus identified in Isolate by Viral subtyping		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
87709-2	Virus Lower Resp Cult	Virus identified in Lower respiratory specimen by Culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
72374-2	Virus Lung tiss Cult	Virus identified in Lung tissue by Culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
14454-3	Virus Nose Cult	Virus identified in Nose by Culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
72373-4	Virus Nph Cult	Virus identified in Nasopharynx by Culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
14459-2	Virus Penis Cult	Virus identified in Penis by Culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
14497-2	Virus Penis IF	Virus identified in Penis by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
14455-0	Virus Plr Cult	Virus identified in Pleural fluid by Culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
14456-8	Virus Prt Cult	Virus identified in Peritoneal fluid by Culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
5885-9	Virus Skin Cult	Virus identified in Skin by Culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
6583-9	Virus Smn Cult	Virus identified in Semen by Culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
14490-7	Virus Smn IF	Virus identified in Semen by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
14458-4	Virus Spt Cult	Virus identified in Sputum by Culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
14496-4	Virus Spt IF	Virus identified in Sputum by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
5886-7	Virus Stl Cult	Virus identified in Stool by Culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
10737-5	Virus Stl EM	Virus identified in Stool by Electron microscopy		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
5887-5	Virus Throat Cult	Virus identified in Throat by Culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
14491-5	Virus Throat IF	Virus identified in Throat by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
5888-3	Virus Tiss Cult	Virus identified in Tissue by Culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
10738-3	Virus Tiss EM	Virus identified in Tissue by Electron microscopy		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
89655-5	Virus Tiss Shell Vial Cult	Virus identified in Tissue by Shell vial culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
14457-6	Virus Ur Cult	Virus identified in Urine by Culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
14495-6	Virus UrnS IF	Virus identified in Urine sediment by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
14460-0	Virus Urth Cult	Virus identified in Urethra by Culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
14498-0	Virus Urth IF	Virus identified in Urethra by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
14453-5	Virus Vag Cult	Virus identified in Vaginal fluid by Culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
14494-9	Virus Vag IF	Virus identified in Vaginal fluid by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
41461-5	Virus XXX	Virus identified in Unspecified specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
6584-7	Virus XXX Cult	Virus identified in Unspecified specimen by Culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
17975-4	Virus XXX Cult org #2	Virus # 2 identified in Unspecified specimen by Culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
17976-2	Virus XXX Cult org #3	Virus # 3 identified in Unspecified specimen by Culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
10739-1	Virus XXX EM	Virus identified in Unspecified specimen by Electron microscopy		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
12272-1	Virus XXX IF	Virus identified in Unspecified specimen by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
50024-9	Virus XXX Shell Vial Cult	Virus identified in Unspecified specimen by Shell vial culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
