Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Test Result Interpretation (NND)	PHVS_LabTestResultInterpretation_NND	2.16.840.1.114222.4.11.7270	2	A value set of interpretation codes for lab test results.	Published	07/07/2020	Adding test related null flavor concepts to abnormal flags. This value set would be primarily used for epidemiological interpretation of lab test results.

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
A	Abnormal (applies to non-numeric results)	Abnormal (applies to non-numeric results)		2.16.840.1.113883.12.78	Abnormal flags (HL7)	PH_AbnormalFlag_HL7_2x	HL7 v2.8.2	HL70078
>	Above absolute high-off instrument scale	Above absolute high-off instrument scale		2.16.840.1.113883.12.78	Abnormal flags (HL7)	PH_AbnormalFlag_HL7_2x	HL7 v2.8.2	HL70078
H	Above high normal	Above high normal		2.16.840.1.113883.12.78	Abnormal flags (HL7)	PH_AbnormalFlag_HL7_2x	HL7 v2.8.2	HL70078
HH	Above upper panic limits	Above upper panic limits		2.16.840.1.113883.12.78	Abnormal flags (HL7)	PH_AbnormalFlag_HL7_2x	HL7 v2.8.2	HL70078
<	Below absolute low-off instrument scale	Below absolute low-off instrument scale		2.16.840.1.113883.12.78	Abnormal flags (HL7)	PH_AbnormalFlag_HL7_2x	HL7 v2.8.2	HL70078
L	Below low normal	Below low normal		2.16.840.1.113883.12.78	Abnormal flags (HL7)	PH_AbnormalFlag_HL7_2x	HL7 v2.8.2	HL70078
LL	Below lower panic limits	Below lower panic limits		2.16.840.1.113883.12.78	Abnormal flags (HL7)	PH_AbnormalFlag_HL7_2x	HL7 v2.8.2	HL70078
B	Better--use when direction not relevant	Better--use when direction not relevant		2.16.840.1.113883.12.78	Abnormal flags (HL7)	PH_AbnormalFlag_HL7_2x	HL7 v2.8.2	HL70078
DET	Detected	Detected		2.16.840.1.113883.12.78	Abnormal flags (HL7)	PH_AbnormalFlag_HL7_2x	HL7 v2.8.2	HL70078
IND	Indeterminate	Indeterminate		2.16.840.1.113883.12.78	Abnormal flags (HL7)	PH_AbnormalFlag_HL7_2x	HL7 v2.8.2	HL70078
I	Intermediate. Indicates for microbiology susceptibilities only.	Intermediate. Indicates for microbiology susceptibilities only.		2.16.840.1.113883.12.78	Abnormal flags (HL7)	PH_AbnormalFlag_HL7_2x	HL7 v2.8.2	HL70078
MS	Moderately susceptible. Indicates for microbiology susceptibilities only	Moderately susceptible. Indicates for microbiology susceptibilities only		2.16.840.1.113883.12.78	Abnormal flags (HL7)	PH_AbnormalFlag_HL7_2x	HL7 v2.8.2	HL70078
NEG	Negative	Negative		2.16.840.1.113883.12.78	Abnormal flags (HL7)	PH_AbnormalFlag_HL7_2x	HL7 v2.8.2	HL70078
PHC1286	No lesions and no tissue to test	No lesions and no tissue to test		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
NR	Non-reactive	Non-reactive		2.16.840.1.113883.12.78	Abnormal flags (HL7)	PH_AbnormalFlag_HL7_2x	HL7 v2.8.2	HL70078
N	Normal (applies to non-numeric results)	Normal (applies to non-numeric results)		2.16.840.1.113883.12.78	Abnormal flags (HL7)	PH_AbnormalFlag_HL7_2x	HL7 v2.8.2	HL70078
ND	Not Detected	Not Detected		2.16.840.1.113883.12.78	Abnormal flags (HL7)	PH_AbnormalFlag_HL7_2x	HL7 v2.8.2	HL70078
POS	Positive	Positive		2.16.840.1.113883.12.78	Abnormal flags (HL7)	PH_AbnormalFlag_HL7_2x	HL7 v2.8.2	HL70078
RR	Reactive	Reactive		2.16.840.1.113883.12.78	Abnormal flags (HL7)	PH_AbnormalFlag_HL7_2x	HL7 v2.8.2	HL70078
R	Resistant. Indicates for microbiology susceptibilities only.	Resistant. Indicates for microbiology susceptibilities only.		2.16.840.1.113883.12.78	Abnormal flags (HL7)	PH_AbnormalFlag_HL7_2x	HL7 v2.8.2	HL70078
D	Significant change down	Significant change down		2.16.840.1.113883.12.78	Abnormal flags (HL7)	PH_AbnormalFlag_HL7_2x	HL7 v2.8.2	HL70078
U	Significant change up	Significant change up		2.16.840.1.113883.12.78	Abnormal flags (HL7)	PH_AbnormalFlag_HL7_2x	HL7 v2.8.2	HL70078
S	Susceptible. Indicates for microbiology susceptibilities only.	Susceptible. Indicates for microbiology susceptibilities only.		2.16.840.1.113883.12.78	Abnormal flags (HL7)	PH_AbnormalFlag_HL7_2x	HL7 v2.8.2	HL70078
373121007	Test not done (qualifier value)	Test not done		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
UNK	unknown	unknown	ZZ	2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
AA	Very abnormal (applies to non-numeric units, analogous to panic limits for numeric units)	Very abnormal (applies to non-numeric units, analogous to panic limits for numeric units)		2.16.840.1.113883.12.78	Abnormal flags (HL7)	PH_AbnormalFlag_HL7_2x	HL7 v2.8.2	HL70078
VS	Very susceptible. Indicates for microbiology susceptibilities only.	Very susceptible. Indicates for microbiology susceptibilities only.		2.16.840.1.113883.12.78	Abnormal flags (HL7)	PH_AbnormalFlag_HL7_2x	HL7 v2.8.2	HL70078
WR	Weakly reactive	Weakly reactive		2.16.840.1.113883.12.78	Abnormal flags (HL7)	PH_AbnormalFlag_HL7_2x	HL7 v2.8.2	HL70078
W	Worse--use when direction not relevant	Worse--use when direction not relevant		2.16.840.1.113883.12.78	Abnormal flags (HL7)	PH_AbnormalFlag_HL7_2x	HL7 v2.8.2	HL70078
