Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Test Result Name (Hepatitis)	PHVS_LabTestResultName_Hepatitis	2.16.840.1.114222.4.11.3043	3	Name of Hepatitis test result.	Published	10/22/2008	v3 v1 Updated based on RCMT v11 update. See RCMT v11 Release notes in Hot Topics on PHINVADS homepage. 

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
13126-8	Deprecated HBV DNA Bld Ql IB	Deprecated Hepatitis B virus DNA [Presence] in Blood by Immunoblot (IB)		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
48659-7	Deprecated HBV preC codon 28 Ser PCR	Deprecated Hepatitis B virus precore codon 28 [Identifier] in Serum by Probe and target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
13125-0	Deprecated HCV C33c Ab SerPl Ql IB	Deprecated Hepatitis C virus c33c Ab [Presence] in Serum by Immunoblot (IB)		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
41996-0	Deprecated HCV DNA SerPl bDNA-Log IU	Deprecated Hepatitis C virus DNA [log units/volume] (viral load) in Serum or Plasma by Probe and signal amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
6422-0	Deprecated HCV rRNA XXX Ql Prb	Deprecated Hepatitis C virus rRNA		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
9526-5	Deprecated HDV Ag Ser EIA	Deprecated Hepatitis D virus Ag		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
51661-7	HAV Ab Fld Ql	Hepatitis A virus Ab [Presence] in Body fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
53775-3	HAV Ab Pnl Ser	Hepatitis A virus Ab panel in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
5183-9	HAV Ab Ser EIA-aCnc	Hepatitis A virus Ab [Units/volume] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
20575-7	HAV Ab Ser Ql	Hepatitis A virus Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
13951-9	HAV Ab Ser Ql EIA	Hepatitis A virus Ab [Presence] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
5184-7	HAV Ab Ser RIA-aCnc	Hepatitis A virus Ab [Units/volume] in Serum by Radioimmunoassay (RIA)		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
22312-3	HAV Ab Ser-aCnc	Hepatitis A virus Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
5179-7	HAV IgG Ser EIA-aCnc	Hepatitis A virus IgG Ab [Units/volume] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
32018-4	HAV IgG Ser Ql	Hepatitis A virus IgG Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
40724-7	HAV IgG Ser Ql EIA	Hepatitis A virus IgG Ab [Presence] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
5180-5	HAV IgG Ser RIA-aCnc	Hepatitis A virus IgG Ab [Units/volume] in Serum by Radioimmunoassay (RIA)		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
22313-1	HAV IgG Ser-aCnc	Hepatitis A virus IgG Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
51913-2	HAV IgG+IgM Ser Ql	Hepatitis A virus IgG+IgM Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
78444-7	HAV IgG+IgM SerPl EIA-aCnc	Hepatitis A virus IgG+IgM Ab [Units/volume] in Serum or Plasma by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
51660-9	HAV IgM Fld Ql	Hepatitis A virus IgM Ab [Presence] in Body fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
5181-3	HAV IgM Ser EIA-aCnc	Hepatitis A virus IgM Ab [Units/volume] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
22314-9	HAV IgM Ser Ql	Hepatitis A virus IgM Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
13950-1	HAV IgM Ser Ql EIA	Hepatitis A virus IgM Ab [Presence] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
5182-1	HAV IgM Ser RIA-aCnc	Hepatitis A virus IgM Ab [Units/volume] in Serum by Radioimmunoassay (RIA)		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
