Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Test Result Name (Tularemia)	PHVS_LabTestResultName_Tularemia	2.16.840.1.114222.4.11.3208	1	Tularemia lab test result name value set is based upon the Lab LOINC concepts that are defined in the CSTE standardized reporting definition for Tularemia.	Published	07/07/2009	CDA Public Health Case Report New Value Set

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
16875-7	F tular Ab Titr Ser	Francisella tularensis Ab:Titr:Pt:Ser:Qn:		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
23125-8	F tular Ab Titr Ser Aggl	Francisella tularensis Ab:Titr:Pt:Ser:Qn:Aggl		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
5167-2	F tular Ab Titr Ser LA	Francisella tularensis Ab:Titr:Pt:Ser:Qn:LA		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
33683-4	F tular Ab Titr Ser Microaggl	Francisella tularensis Ab:Titr:Pt:Ser:Qn:Aggl.micro		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
33684-2	F tular Ab Titr Ser Tube	Francisella tularensis Ab:Titr:Pt:Ser:Qn:Aggl.standard tube		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
33678-4	F tular Ag Islt Ql IF	Francisella tularensis Ag:ACnc:Pt:Isolate:Ord:IF		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
16879-9	F tular Ag Ser Ql IF	Francisella tularensis Ag:ACnc:Pt:Ser:Ord:IF		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
23127-4	F tular Ag Tiss Ql IF	Francisella tularensis Ag:ACnc:Pt:Tiss:Ord:IF		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
6408-9	F tular Ag XXX Ql IF	Francisella tularensis Ag:ACnc:Pt:XXX:Ord:IF		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
33466-4	F tular IgM Titr Ser	Francisella tularensis Ab.IgM:Titr:Pt:Ser:Qn:		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
33677-6	F tular Islt Ql Cult	Francisella tularensis:ACnc:Pt:Isolate:Ord:Organism specific culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
33676-8	F tular XXX Ql Cult	Francisella tularensis:ACnc:Pt:XXX:Ord:Organism specific culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
