Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Test Result (PHLIP Flu)	PHVS_LabTestResult_PHLIP_Flu	2.16.840.1.114222.4.11.3017	14	Lab Test Result that could be used in OBX-5  (PHLIP Flu)	Published	12/18/2019	v14

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
26183002	Bordetella parapertussis (organism)	Bordetella parapertussis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
5247005	Bordetella pertussis (organism)	Bordetella pertussis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
103514009	Chlamydophila pneumoniae (organism)	Chlamydophila pneumoniae		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
62604006	Contaminated (qualifier value)	Contaminated		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
407444007	Genus Cytomegalovirus (organism)	Cytomegalovirus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
112652003	Cytopathic effect (morphologic abnormality)	Cytopathic effect		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
260373001	Detected (qualifier value)	Detected		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
PLR100	E119 wildtype	E119 wildtype		2.16.840.1.114222.4.5.289	Lab Result (PHLIP)	PH_LabResult_PHLIP	1.33	PLR
PLR101	E119V mutation	E119V mutation		2.16.840.1.114222.4.5.289	Lab Result (PHLIP)	PH_LabResult_PHLIP	1.33	PLR
PLR136	EIP	EIP		2.16.840.1.114222.4.5.289	Lab Result (PHLIP)	PH_LabResult_PHLIP	1.33	PLR
42425007	Equivocal (qualifier value)	Equivocal		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
