Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Test Result PHLIP Salmonella	PHVS_LabTestResult_PHLIP_Sal	2.16.840.1.114222.4.11.5026	1	results in OBX.5 drawn from SNOMED organism or qualifier hierarchy or PLR coding system	Published	08/30/2011	for ETOR Salmonella phase 1

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
62604006	Contaminated (qualifier value)	Contaminated		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
27268008	Genus Salmonella (organism)	Salmonella		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
260385009	Negative (qualifier value)	Negative		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
264868006	No growth (qualifier value)	No growth		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
404523002	Organism not viable (finding)	Organism not viable		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
PLR51	positive at day 1 (finding)	positive at day 1 (finding)		2.16.840.1.114222.4.5.289	Lab Result (PHLIP)	PH_LabResult_PHLIP	1.33	PLR
PLR52	positive at day 2 (finding)	positive at day 2 (finding)		2.16.840.1.114222.4.5.289	Lab Result (PHLIP)	PH_LabResult_PHLIP	1.33	PLR
PLR53	positive at day 3 (finding)	positive at day 3 (finding)		2.16.840.1.114222.4.5.289	Lab Result (PHLIP)	PH_LabResult_PHLIP	1.33	PLR
PLR54	positive at day 4 (finding)	positive at day 4 (finding)		2.16.840.1.114222.4.5.289	Lab Result (PHLIP)	PH_LabResult_PHLIP	1.33	PLR
PLR55	positive at day 5 (finding)	positive at day 5 (finding)		2.16.840.1.114222.4.5.289	Lab Result (PHLIP)	PH_LabResult_PHLIP	1.33	PLR
PLR56	positive at day 6 (finding)	positive at day 6 (finding)		2.16.840.1.114222.4.5.289	Lab Result (PHLIP)	PH_LabResult_PHLIP	1.33	PLR
PLR57	positive at day 7 (finding)	positive at day 7 (finding)		2.16.840.1.114222.4.5.289	Lab Result (PHLIP)	PH_LabResult_PHLIP	1.33	PLR
398393000	Salmonella bongori (organism)	Salmonella bongori		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
110378009	Salmonella enterica (organism)	Salmonella enterica		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
397502001	Salmonella enterica subsp. arizonae (organism)	Salmonella enterica subsp. arizonae		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
398428002	Salmonella enterica subsp. diarizonae (organism)	Salmonella enterica subsp. diarizonae		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
398508004	Salmonella enterica subsp. enterica (organism)	Salmonella enterica subsp. enterica		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
398371005	Salmonella enterica subsp. houtenae (organism)	Salmonella enterica subsp. houtenae		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
398620001	Salmonella enterica subsp. indica (organism)	Salmonella enterica subsp. indica		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
398488004	Salmonella enterica subsp. salamae (organism)	Salmonella enterica subsp. salamae		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
260405006	Trace (qualifier value)	Trace		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
