Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Test Type Master (RIBD)	PHVS_LabTestTypeMaster_RIBD	2.16.840.1.114222.4.11.7847	1	Master value set for RIBD validation (includes Lab Test Type (RIBD), Lab 
Test Type (Psittacosis), and Lab Test Type (Legionellosis)).	Published	08/19/2018	Master value set for RIBD validation (includes Lab Test Type (RIBD), Lab 
Test Type (Psittacosis), and Lab Test Type (Legionellosis)).

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
LAB693	Antigen Test Type	Antigen		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
LABAST6	Antimicrobial susceptibility Test Type	Antimicrobial Susceptibility Testing (CDC Testing)		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
LAB695	Culture Test Type	Culture		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
LAB694	Direct Fluorescent Antibody Test Type	DFA		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
LAB713	Genotyping Test Type	Genotyping (CDC Testing)		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
LAB697	Immunohistochemistry Test Type	Immunohistochemistry		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
LAB691	Latex agglutination Test Type	Latex agglutination		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
LAB608	Other Test Type	Other Test Type		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
LAB696	Polymerase Chain Reaction Test Type	PCR		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
LAB701	Serotyping Test Type	Serotyping (CDC Testing)		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
LAB702	Species Confirmation Test Type	Species Confirmation (CDC Testing)		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
LAB698	Titer Test Type 	Titer		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
LAB714	Titers to L. pneumophila serogroup 1	Titers to L. pneumophila serogroup 1		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
LAB715	Titers to non- L. pneumophila serogroup 1	Titers to non- L. pneumophila serogroup 1		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
LAB609	Unknown Test Type	Unknown Test Type		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
LAB706	Whole Genome Sequencing Test Type	Whole Genome Sequencing (CDC testing)		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
