Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Test Type (COVID-19)	PHVS_LabTestType_COVID-19	2.16.840.1.114222.4.11.7948	2	Epidemiologic interpretation of the type of test(s) performed for this case. Used in COVID-19 MMG.	Published	05/27/2020	Added new labs

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
LAB741	IA test NOS	Immunoassay test NOS		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
LAB697	Immunohistochemistry Test Type	Immunohistochemistry test		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
LAB739	Nucleic acid amplification (PCR) test NOS	NAA (PCR) test NOS		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
LAB608	Other Test Type	Other test (specify)		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
95125-1	SARS coronavirus 2 Ab.IgA+IgM	SARS coronavirus 2 IgA+IgM [Presence] in Serum or Plasma by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
95209-3	SARS coronavirus+SARS coronavirus 2 Ag	SARS coronavirus+SARS coronavirus 2 Ag [Presence] in Respiratory specimen by Rapid immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
94762-2	SARS-CoV-2 Ab SerPl Ql IA	SARS coronavirus 2 Ab [Presence] in Serum or Plasma by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
94661-6	SARS-CoV-2 Ab SerPl-Imp	SARS coronavirus 2 Ab [Interpretation] in Serum or Plasma		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
94558-4	SARS-CoV-2 Ag Resp Ql IA.rapid	SARS coronavirus 2 Ag [Presence] in Respiratory specimen by Rapid immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
94758-0	SARS-CoV-2 E gene Resp Ql NAA+probe	SARS coronavirus 2 E gene [Presence] in Respiratory specimen by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
94765-5	SARS-CoV-2 E gene SerPl Ql NAA+probe	SARS coronavirus 2 E gene [Presence] in Serum or Plasma by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
94315-9	SARS-CoV-2 E gene XXX Ql NAA+probe	SARS coronavirus 2 E gene [Presence] in Unspecified specimen by NAA with probe detection		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
94764-8	SARS-CoV-2 genome Islt-Seq	SARS coronavirus 2 whole genome [Nucleotide sequence] in Isolate by Sequencing		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
94562-6	SARS-CoV-2 IgA SerPl Ql IA	SARS coronavirus 2 IgA Ab [Presence] in Serum or Plasma by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
94768-9	SARS-CoV-2 IgA SerPlBld Ql IA.rapid	SARS coronavirus 2 IgA Ab [Presence] in Serum, Plasma or Blood by Rapid immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
