Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Test Type (Lyme)	PHVS_LabTestType_Lyme	2.16.840.1.114222.4.11.7844	2	Interpretative lab test types associated with Lyme Disease. 	Published	08/10/2018	added new concepts EIA/ELISA IgG, EIA/ELISA IgM, EIA/ELISA IgG and IgM and IFA

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
23676-0	B burgdor Ab Ser Ql IF	IFA		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
16480-6	B burgdor IgG SerPl Ql IA	EIA/ELISA IgG		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
83081-0	B burgdor IgG+IgM Ser Ql IA	EIA/ELISA IgG and IgM		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
22135-8	B burgdor IgM Ser Ql	EIA/ELISA IgM		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
20449-5	B burgdorferi Ab [Presence] in Serum by Immunoassay	EIA/ELISA		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
32667-8	B burgdorferi DNA XXX Ql NAA+probe	PCR		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
6320-6	B burgdorferi IgG Ab [Presence] in Serum by Immunoblot	IgG WB		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
6321-4	B burgdorferi IgM Ab [Presence] in Serum by Immunoblot	IgM WB		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
11550-1	B burgdorferi XXX QI culture	Culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
LAB608	Other Test Type	Other Test Type (specify)		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
