Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Test Type (Mumps)	PHVS_LabTestType_Mumps	2.16.840.1.114222.4.11.7336	11	Interpretative Lab tests associated with Mumps. Updated Other and Unknown codes.
	Published	03/06/2018	Added " Unspecified Serology" which would be used so jurisdictions would be able to send the serology interpretation findings (e.g. positive, negative) even if they don't have the specific antibody test types (e.g. IgG, IgM, IgA) as well as methods (e.g. EIA).

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
47532-7	MuV RNA XXX Ql PCR	Mumps virus RNA [Presence] in Unspecified specimen by Probe and target amplification method		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
13921-2	MuV XXX Ql Cult	Mumps virus [Presence] in Unspecified specimen by Organism specific culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
LAB640	Mumps IgG Antibody (Acute)	Mumps IgG Antibody (Acute)		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
LAB641	Mumps IgG Antibody (Convalescent)	Mumps IgG Antibody (Convalescent)		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
6476-6	MuV IgG Ser Ql EIA	Mumps IgG Antibody EIA, Unspecified Acute/Convalescent		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
22418-8	MuV IgM Ser Ql	Mumps virus IgM Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
LAB707	Unspecified Serology	Unspecified Serology		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
LAB633	Molecular typing	Molecular typing		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
85807-6	MuV Gentyp XXX	Mumps virus genotype in Unspecified specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
LAB608	Other Test Type	Other Test Type		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
LAB609	Unknown Test Type	Unknown Test Type		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
