Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Test Type (TB)	PHVS_LabTestType_TB	2.16.840.1.114222.4.11.7743	3	Epidemiologic interpretation of the type of test(s) performed for this case. Please provide a response for each of the main test types (culture, smear, pathology/cytology, NAA, TST, IGRA, HIV, diabetes) If test was not done please indicate so.	Published	11/23/2018	Added Pathology/Cytology and IGRA-Other

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
24467-3	CD3+CD4+ Cells # Bld	CD4 Count		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
10525-4	Cyto XXX	Cytology		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
76629-5	Glucose p fast Bld-sCnc	Fasting blood glucose		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
55454-3	Hgb A1c Bld	Hemoglobin A1c		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
55277-8	HIV status	HIV Status		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
LAB671	IGRA-QFT	IGRA-QFT		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
LAB672	IGRA-TSpot	IGRA-TSpot		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
71773-6	M TB IFN-g Bld-Imp	IGRA-Unknown		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
50941-4	Mycobacterium XXX Ql Cult	Culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
LAB673	Nucleic Acid Amplification Test	NAA		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
LAB720	Other IGRA test type	IGRA-Other		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
LAB608	Other Test Type	Other Test Type		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
50595-8	Path Interp XXX-Imp	Pathology		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
LAB719	Pathology/Cytology	Pathology/Cytology 		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
TB119	Skin Test at Diagnosis	Tuberculin Skin Test		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
20431-3	Smear XXX	Smear		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
