Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Test Type (Varicella)	PHVS_LabTestType_VZ	2.16.840.1.114222.4.11.7456	7	Update based on new MMG guide.
	Published	03/06/2018	Added " Unspecified Serology" which would be used so jurisdictions would be able to send the serology interpretation findings (e.g. positive, negative) even if they don't have the specific antibody test types (e.g. IgG, IgM, IgA) as well as methods (e.g. EIA).

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
10860-5	VZV XXX Ql Cult	Varicella Zoster Virus Culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
5882-6	VZV Ag XXX Ql IF	Varicella Zoster Virus Antigen (DFA)		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
11483-5	VZV DNA XXX Ql PCR	Varicella Zoster Virus PCR		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
LAB632	Varicella Zoster Virus IgG Antibody Avidity	Varicella Zoster Virus IgG Antibody Avidity		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
LAB637	Varicella Zoster Virus IgG Antibody (Acute)	Varicella Zoster Virus IgG Antibody (Acute)		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
LAB638	Varicella Zoster Virus IgG Antibody (Convalescent)	Varicella Zoster Virus IgG Antibody (Convalescent)		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
15410-4	VZV IgG Ser Ql EIA	Varicella IgG Antibody EIA, Unspecified Acute/Convalescent		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
8048-1	VZV IgM Ser-aCnc	Varicella Zoster Virus IgM Antibody		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
LAB707	Unspecified Serology	Unspecified Serology		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
LAB631	Varicella Zoster Virus Genotype	Varicella Zoster Virus Genotype		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
82746-9	VZV strain Islt	Varicella Zoster Virus Strain Identification		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
LAB608	Other Test Type	Other Test Type		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
LAB609	Unknown Test Type	Unknown Test Type		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
