Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lab Tests (STD)	PHVS_LabTests_STD	2.16.840.1.114222.4.11.7201	1	Type of STD test performed on specimen collected.	Published	07/08/2020	Initial version 

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
45130-2	C trach Ab Fld Ql	Chlamydia trachomatis Ab [Presence] in Body fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
45007-2	C trach Ab Ser EIA-aCnc	Chlamydia trachomatis Ab [Units/volume] in Serum by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
30204-2	C trach Ab Ser Ql	Chlamydia trachomatis Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
45008-0	C trach Ab Ser Ql CF	Chlamydia trachomatis Ab [Presence] in Serum by Complement fixation		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
45009-8	C trach Ab Ser Ql IF	Chlamydia trachomatis Ab [Presence] in Serum by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
7824-6	C trach Ab Ser-aCnc	Chlamydia trachomatis Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
44998-3	C trach Ab sp1 Ser Ql	Chlamydia trachomatis Ab [Presence] in Serum --1st specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
44997-5	C trach Ab sp2 Ser-aCnc	Chlamydia trachomatis Ab [Units/volume] in Serum --2nd specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
22187-9	C trach Ab Titr Ser	Chlamydia trachomatis Ab [Titer] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
5087-2	C trach Ab Titr Ser CF	Chlamydia trachomatis Ab [Titer] in Serum by Complement fixation		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
5088-0	C trach Ab Titr Ser IF	Chlamydia trachomatis Ab [Titer] in Serum by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
34710-4	C trach Ag Anal Ql	Chlamydia trachomatis Ag [Presence] in Anal		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
31768-5	C trach Ag Bld Ql	Chlamydia trachomatis Ag [Presence] in Blood		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
14468-3	C trach Ag Bld Ql EIA	Chlamydia trachomatis Ag [Presence] in Blood by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
14507-8	C trach Ag Bld Ql IF	Chlamydia trachomatis Ag [Presence] in Blood by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
31771-9	C trach Ag Cervix Ql	Chlamydia trachomatis Ag [Presence] in Cervix		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
14470-9	C trach Ag Cervix Ql EIA	Chlamydia trachomatis Ag [Presence] in Cervix by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
14509-4	C trach Ag Cervix Ql IF	Chlamydia trachomatis Ag [Presence] in Cervix by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
31769-3	C trach Ag Conjunct Ql	Chlamydia trachomatis Ag [Presence] in Conjunctival specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
6350-3	C trach Ag Conjunct Ql EIA	Chlamydia trachomatis Ag [Presence] in Conjunctival specimen by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
6351-1	C trach Ag Conjunct Ql IF	Chlamydia trachomatis Ag [Presence] in Conjunctival specimen by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
31770-1	C trach Ag CSF Ql	Chlamydia trachomatis Ag [Presence] in Cerebral spinal fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
14469-1	C trach Ag CSF Ql EIA	Chlamydia trachomatis Ag [Presence] in Cerebral spinal fluid by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
14508-6	C trach Ag CSF Ql IF	Chlamydia trachomatis Ag [Presence] in Cerebral spinal fluid by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
47234-0	C trach Ag Fld Ql	Chlamydia trachomatis Ag [Presence] in Body fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
45091-6	C trach Ag Genital Ql	Chlamydia trachomatis Ag [Presence] in Genital specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
34709-6	C trach Ag Nph Ql	Chlamydia trachomatis Ag [Presence] in Nasopharynx		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
45092-4	C trach Ag Nph Ql EIA	Chlamydia trachomatis Ag [Presence] in Nasopharynx by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
31773-5	C trach Ag Penis Ql	Chlamydia trachomatis Ag [Presence] in Penis		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
14473-3	C trach Ag Penis Ql EIA	Chlamydia trachomatis Ag [Presence] in Penis by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
14512-8	C trach Ag Penis Ql IF	Chlamydia trachomatis Ag [Presence] in Penis by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
31774-3	C trach Ag Stl Ql	Chlamydia trachomatis Ag [Presence] in Stool		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
6352-9	C trach Ag Stl Ql IF	Chlamydia trachomatis Ag [Presence] in Stool by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
6353-7	C trach Ag Tiss Ql IF	Chlamydia trachomatis Ag [Presence] in Tissue by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
31775-0	C trach Ag UrnS Ql	Chlamydia trachomatis Ag [Presence] in Urine sediment		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
14474-1	C trach Ag UrnS Ql EIA	Chlamydia trachomatis Ag [Presence] in Urine sediment by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
14513-6	C trach Ag UrnS Ql IF	Chlamydia trachomatis Ag [Presence] in Urine sediment by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
31776-8	C trach Ag Urth Ql	Chlamydia trachomatis Ag [Presence] in Urethra		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
14472-5	C trach Ag Urth Ql EIA	Chlamydia trachomatis Ag [Presence] in Urethra by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
14511-0	C trach Ag Urth Ql IF	Chlamydia trachomatis Ag [Presence] in Urethra by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
31772-7	C trach Ag Vag Ql	Chlamydia trachomatis Ag [Presence] in Vaginal fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
14471-7	C trach Ag Vag Ql EIA	Chlamydia trachomatis Ag [Presence] in Vaginal fluid by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
14510-2	C trach Ag Vag Ql IF	Chlamydia trachomatis Ag [Presence] in Vaginal fluid by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
31777-6	C trach Ag XXX Ql	Chlamydia trachomatis Ag [Presence] in Unspecified specimen		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
6354-5	C trach Ag XXX Ql EIA	Chlamydia trachomatis Ag [Presence] in Unspecified specimen by Immunoassay		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
6355-2	C trach Ag XXX Ql IF	Chlamydia trachomatis Ag [Presence] in Unspecified specimen by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
45093-2	C trach Anal Ql Cult	Chlamydia trachomatis [Presence] in Anal by Organism specific culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
13217-5	C trach B Ab Ser-aCnc	Chlamydia trachomatis B Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
32005-1	C trach B Ab Titr Ser	Chlamydia trachomatis B Ab [Titer] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
27368-0	C trach B Ab Titr Ser IF	Chlamydia trachomatis B Ab [Titer] in Serum by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
44996-7	C trach B IgA Ser Ql	Chlamydia trachomatis B IgA Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
31294-2	C trach B IgA Ser-aCnc	Chlamydia trachomatis B IgA Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
22194-5	C trach B IgA Titr Ser	Chlamydia trachomatis B IgA Ab [Titer] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
14199-4	C trach B IgA Titr Ser IF	Chlamydia trachomatis B IgA Ab [Titer] in Serum by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
44995-9	C trach B IgG Ser Ql	Chlamydia trachomatis B IgG Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
16597-7	C trach B IgG Ser-aCnc	Chlamydia trachomatis B IgG Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
22195-2	C trach B IgG Titr Ser	Chlamydia trachomatis B IgG Ab [Titer] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
14200-0	C trach B IgG Titr Ser IF	Chlamydia trachomatis B IgG Ab [Titer] in Serum by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
44994-2	C trach B IgM Ser Ql	Chlamydia trachomatis B IgM Ab [Presence] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
31295-9	C trach B IgM Ser-aCnc	Chlamydia trachomatis B IgM Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
22196-0	C trach B IgM Titr Ser	Chlamydia trachomatis B IgM Ab [Titer] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
14201-8	C trach B IgM Titr Ser IF	Chlamydia trachomatis B IgM Ab [Titer] in Serum by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
14461-8	C trach Bld Ql Cult	Chlamydia trachomatis [Presence] in Blood by Organism specific culture		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
13218-3	C trach C Ab Ser-aCnc	Chlamydia trachomatis C Ab [Units/volume] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
32006-9	C trach C Ab Titr Ser	Chlamydia trachomatis C Ab [Titer] in Serum		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
27370-6	C trach C Ab Titr Ser IF	Chlamydia trachomatis C Ab [Titer] in Serum by Immunofluorescence		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
