Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Labor and Delivery Characteristics (NCHS)	PHVS_LaborandDeliveryCharacteristics_NCHS	2.16.840.1.114222.4.11.7117	4	The value set contains the list of options to indicate information about the course of labor and delivery.	Published	03/17/2015	Initial Import for : 5D0631B2-6787-E311-AE2A-0017A477041A

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
236958009	Induction of labor	Induction of labor		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
237001001	Augmentation of labor	Augmentation of labor		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
15028002	Abnormal fetal presentation	Non-vertex presentation		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
434611000124106	Maternal antenatal administration of corticosteroids for fetal lung maturation	Steroids (glucocorticoids) for fetal lung maturation		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
434691000124101	Antibacterial administered during labor	Antibiotics received during labor		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
11612004	Chorioamnionitis	Clinical chorioamnionitis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
249135009	Meconium stained liquor	Moderate/heavy meconium staining		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
130955003	Fetal distress	Fetal intolerance		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
231064003	Intrathecal injection of local anesthetic agent	Epidural or spinal anesthesia		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
260413007	None	None of the specified items		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
