Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Laboratory Tests (HW)	PHVS_LaboratoryTests_HW	1.3.6.1.4.1.19376.1.7.3.1.1.23.8.17	1	To identify laboratory tests that are relevant to improved healthy weight	Published	03/06/2014	Initial Import for : 5453B10C-A2A5-E311-8D07-0017A477041A

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
25302-1	Alanine aminotransferase [Enzymatic activity/volume] in Body fluid	Alanine aminotransferase [Enzymatic activity/volume] in Body fluid		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
44785-4	Alanine aminotransferase [Enzymatic activity/volume] in maximum Serum or Plasma by Without P-5'-P	Alanine aminotransferase [Enzymatic activity/volume] in maximum Serum or Plasma by Without P-5'-P		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
16324-6	Alanine aminotransferase [Enzymatic activity/volume] in Red Blood Cells	Alanine aminotransferase [Enzymatic activity/volume] in Red Blood Cells		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
1742-6	Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma	Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
1743-4	Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma by With P-5'-P	Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma by With P-5'-P		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
1744-2	Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma by Without P-5'-P	Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma by Without P-5'-P		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
48134-1	Alanine aminotransferase.macromolecular [Enzymatic activity/volume] in Serum or Plasma	Alanine aminotransferase.macromolecular [Enzymatic activity/volume] in Serum or Plasma		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
16325-3	Alanine aminotransferase/Aspartate aminotransferase [Enzymatic activity ratio] in Serum or Plasma	Alanine aminotransferase/Aspartate aminotransferase [Enzymatic activity ratio] in Serum or Plasma		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
56035-9	Apolipoprotein A-I/Cholesterol in HDL [Mass Ratio] in Serum or Plasma	Apolipoprotein A-I/Cholesterol in HDL [Mass Ratio] in Serum or Plasma		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
56036-7	Apolipoprotein B/Cholesterol in LDL [Mass Ratio] in Serum or Plasma	Apolipoprotein B/Cholesterol in LDL [Mass Ratio] in Serum or Plasma		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
