Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Language	PHVS_Language_ISO_639-2_Alpha3	2.16.840.1.114222.4.11.831	3	Primary spoken language	Published	06/21/2020	Added "Other language" concept  to represent coded and non coded languages not included in this value set. 

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
abk	Abkhazian	Abkhazian		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
ace	Achinese	Achinese		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
ach	Acoli	Acoli		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
ada	Adangme	Adangme		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
ady	Adyghe; Adygei	Adyghe; Adygei		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
aar	Afar	Afar		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
afh	Afrihili	Afrihili		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
afr	Afrikaans	Afrikaans		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
afa	Afro-Asiatic (Other)	Afro-Asiatic (Other)		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
ain	Ainu	Ainu		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
aka	Akan	Akan		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
akk	Akkadian	Akkadian		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
sqi	Albanian	Albanian (T)		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
alb	Albanian	Albanian (B)		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
ale	Aleut	Aleut		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
alg	Algonquian languages	Algonquian languages		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
tut	Altaic (Other)	Altaic (Other)		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
amh	Amharic	Amharic		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
anp	Angika	Angika		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
apa	Apache languages	Apache languages		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
ara	Arabic	Arabic		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
arg	Aragonese	Aragonese		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
arp	Arapaho	Arapaho		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
arw	Arawak	Arawak		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
arm	Armenian	Armenian (B)		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
hye	Armenian	Armenian (T)		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
rup	Aromanian; Arumanian; Macedo-Romanian	Aromanian; Arumanian; Macedo-Romanian		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
art	Artificial (Other)	Artificial (Other)		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
asm	Assamese	Assamese		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
ast	Asturian; Bable; Leonese; Asturleonese	Asturian; Bable; Leonese; Asturleonese		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
ath	Athapascan languages	Athapascan languages		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
aus	Australian languages	Australian languages		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
map	Austronesian (Other)	Austronesian (Other)		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
ava	Avaric	Avaric		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
ave	Avestan	Avestan		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
awa	Awadhi	Awadhi		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
aym	Aymara	Aymara		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
aze	Azerbaijani	Azerbaijani		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
ban	Balinese	Balinese		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
bat	Baltic (Other)	Baltic (Other)		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
bal	Baluchi	Baluchi		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
bam	Bambara	Bambara		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
bai	Bamileke languages	Bamileke languages		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
bad	Banda languages	Banda languages		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
bnt	Bantu (Other)	Bantu (Other)		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
bas	Basa	Basa		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
bak	Bashkir	Bashkir		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
eus	Basque	Basque (T)		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
baq	Basque	Basque (B)		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
btk	Batak languages	Batak languages		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
bej	Beja; Bedawiyet	Beja; Bedawiyet		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
bel	Belarusian	Belarusian		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
bem	Bemba	Bemba		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
ben	Bengali	Bengali		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
ber	Berber (Other)	Berber (Other)		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
bho	Bhojpuri	Bhojpuri		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
bih	Bihari	Bihari		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
bik	Bikol	Bikol		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
bin	Bini; Edo	Bini; Edo		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
bis	Bislama	Bislama		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
byn	Blin; Bilin	Blin; Bilin		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
zbl	Blissymbols; Blissymbolics; Bliss	Blissymbols; Blissymbolics; Bliss		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
nob	Bokmål, Norwegian; Norwegian Bokmål	Bokmål, Norwegian; Norwegian Bokmål		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
bos	Bosnian	Bosnian		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
bra	Braj	Braj		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
bre	Breton	Breton		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
bug	Buginese	Buginese		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
bul	Bulgarian	Bulgarian		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
bua	Buriat	Buriat		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
bur	Burmese	Burmese (B)		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
mya	Burmese	Burmese (T)		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
cad	Caddo	Caddo		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
cat	Catalan; Valencian	Catalan; Valencian		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
cau	Caucasian (Other)	Caucasian (Other)		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
ceb	Cebuano	Cebuano		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
cel	Celtic (Other)	Celtic (Other)		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
cai	Central American Indian (Other)	Central American Indian (Other)		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
khm	Central Khmer	Central Khmer		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
chg	Chagatai	Chagatai		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
cmc	Chamic languages	Chamic languages		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
cha	Chamorro	Chamorro		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
che	Chechen	Chechen		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
chr	Cherokee	Cherokee		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
chy	Cheyenne	Cheyenne		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
chb	Chibcha	Chibcha		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
nya	Chichewa; Chewa; Nyanja	Chichewa; Chewa; Nyanja		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
zho	Chinese	Chinese (T)		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
chi	Chinese	Chinese (B)		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
chn	Chinook jargon	Chinook jargon		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
chp	Chipewyan; Dene Suline	Chipewyan; Dene Suline		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
cho	Choctaw	Choctaw		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
chu	Church Slavic; Old Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic	Church Slavic; Old Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
chk	Chuukese	Chuukese		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
chv	Chuvash	Chuvash		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
nwc	Classical Newari; Old Newari; Classical Nepal Bhasa	Classical Newari; Old Newari; Classical Nepal Bhasa		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
syc	Classical Syriac	Classical Syriac		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
cop	Coptic	Coptic		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
cor	Cornish	Cornish		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
cos	Corsican	Corsican		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
cre	Cree	Cree		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
mus	Creek	Creek		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
crp	Creoles and pidgins (Other)	Creoles and pidgins (Other)		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
cpe	Creoles and pidgins, English based (Other)	Creoles and pidgins, English based (Other)		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
cpf	Creoles and pidgins, French-based (Other)	Creoles and pidgins, French-based (Other)		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
cpp	Creoles and pidgins, Portuguese-based (Other)	Creoles and pidgins, Portuguese-based (Other)		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
crh	Crimean Tatar; Crimean Turkish	Crimean Tatar; Crimean Turkish		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
hrv	Croatian	Croatian		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
cus	Cushitic (Other)	Cushitic (Other)		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
cze	Czech	Czech (B)		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
ces	Czech	Czech (T)		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
dak	Dakota	Dakota		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
dan	Danish	Danish		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
dar	Dargwa	Dargwa		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
del	Delaware	Delaware		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
din	Dinka	Dinka		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
div	Divehi; Dhivehi; Maldivian	Divehi; Dhivehi; Maldivian		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
doi	Dogri	Dogri		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
dgr	Dogrib	Dogrib		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
dra	Dravidian (Other)	Dravidian (Other)		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
dua	Duala	Duala		2.16.840.1.113883.6.100	ISO 639-2 Language	PH_Language_ISO_639-2_Alpha3	March 2014	ISO6392
