Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Legionella Exposure (RIBD)	PHVS_LegionellaExposure_RIBD	2.16.840.1.114222.4.11.7715	1	Legionella exposure in 14 days prior to onset of Legionella.	Published	03/06/2018	version 1

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
PHC1528	Attend a convention, reception, conference, or other public gathering	Attend a convention, reception, conference, or other public gathering		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
PHC1529	Construction or remodeling occur at or near the patient's home or a place visited by the patient	Construction or remodeling occur at or near the patient's home or a place visited by the patient		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
106524008	Construction worker (occupation)	Work in construction (esp. with spraying water, demolition, or refurbishing)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
PHC367	Hot tub and or whirlpool	Get in or spend time near a whirlpool spa/hot tub/Jacuzzi		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
PHC1576	Near a decorative water fountain or water feature	Near a decorative water fountain or water feature		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
PHC1578	Near a mister	Near a mister (e.g., grocery store, outdoor cooling)		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
PHC1579	Near a sprinkler	Near a sprinkler (e.g., lawn, golf course, fire, etc.)		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
PHC1539	Near some other water aerosolizing device	Near some other water aerosolizing device		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
OTH	other	Work in another occupation involving water exposures		2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
PHC368	Recreational water park	Visit a water park		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
PHC1577	Shower away from home	Shower away from home		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
87447002	Truck and van driver (long-distance transport) (occupation)	Commercial or long haul truck driver		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
PHC1538	Use respiratory therapy equipment	Use respiratory therapy equipment		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
PHC1530	Visit an area with large buildings that may have a cooling tower(s)	Visit an area with large buildings (e.g., shopping centers, high-rise complexes, etc.) that may have a cooling tower(s)		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
PHC1531	Visit or live in a congregate living facility	Visit or live in a congregate living facility (e.g., correctional facilities, shelters, dormitories, etc.)		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
PHC1535	Work in a commercial kitchen	Work in a commercial kitchen		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
PHC1537	Work in a waste water treatment plant	Work in a waste water treatment plant		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
PHC1534	Work in an industrial/manufacturing plant with a water spray cooling system or processes involving spraying water	Work in an industrial/manufacturing plant with a water spray cooling system or processes involving spraying water		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
PHC1536	Work in custodial services	Work in custodial services (e.g., housekeeping, janitor)		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
PHC1533	Work in water-related leisure	Work in water-related leisure (e.g., hotels, cruise ships, water parks)		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
PHC1532	Work with water device/system maintenance	Work with water device/system maintenance (e.g., cooling towers, plumbing, whirlpool spas)		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
