Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Length of Gestation in Weeks	PHVS_LengthOfGestationInWeeks_CDC	2.16.840.1.114222.4.11.7468	1	Length of gestation finding values in weeks and trimester. 	Published	01/31/2016	Intrinsic value set based upon SNOMED CT [366323009 - Finding of length of gestation],  July 31st, 2015 version.  

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
57630001	First trimester pregnancy (finding)	First trimester pregnancy		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
428567001	Gestation 14 - 20 weeks (finding)	Gestation 14 - 20 weeks		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
428930004	Gestation 9- 13 weeks (finding)	Gestation 9- 13 weeks		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
429715006	Gestation greater than 20 weeks (finding)	Gestation greater than 20 weeks		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
313180007	Gestation greater than 24 weeks (finding)	Gestation greater than 24 weeks		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
428566005	Gestation less than 20 weeks (finding)	Gestation less than 20 weeks		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
313178001	Gestation less than 24 weeks (finding)	Gestation less than 24 weeks		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
428058009	Gestation less than 9 weeks (finding)	Gestation less than 9 weeks		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
433601000124106	Gestation period greater than or equal to 37 weeks (finding)	Gestation period greater than or equal to 37 weeks		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
87178007	Gestation period, 1 week (finding)	Gestation period, 1 week		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
