Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Lettuce Type (FDD)	PHVS_LettuceType_FDD	2.16.840.1.114222.4.11.3090	2	Type of lettuce consumed answer list	Published	10/19/2018	v2-- Added Additional values to the value set

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
B2077	BOK CHOY 	Cabbage, bok choy		2.16.840.1.113883.4.291	LanguaL	PH_Langual	Langual 2017	LANGUAL
B1611	BRUSSELS SPROUT 	Cabbage, brussel sprouts		2.16.840.1.113883.4.291	LanguaL	PH_Langual	Langual 2017	LANGUAL
B1406	CABBAGE 	Cabbage, unknown		2.16.840.1.113883.4.291	LanguaL	PH_Langual	Langual 2017	LANGUAL
B1051	CHINESE OR CELERY CABBAGE	Cabbage, napa 		2.16.840.1.113883.4.291	LanguaL	PH_Langual	Langual 2017	LANGUAL
B1314	Endive	Endive		2.16.840.1.113883.4.291	LanguaL	PH_Langual	Langual 2017	LANGUAL
C1002802	Eruca sativa	Arugula		2.16.840.1.113883.6.86	UMLS	PH_UMLS	20200301	UML
PHC2131	Green Cabbage	Cabbage, green 		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
B2083	ICEBERG LETTUCE 	Iceberg lettuce		2.16.840.1.113883.4.291	LanguaL	PH_Langual	Langual 2017	LANGUAL
B1281	Kale	Kale		2.16.840.1.113883.4.291	LanguaL	PH_Langual	Langual 2017	LANGUAL
PHC350	Mesclun	Mesclun (spring mix, field green, gourmet salad)		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
227253005	Mustard leaf (substance)	Mustard greens		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
260413007	None (qualifier value)	None		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
OTH	other	Other type of fresh lettuce (specify)		2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
PHC2130	Premade single serving salad	Pre-made single serving salad (specify)		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
B2452	Radicchio	Radicchio		2.16.840.1.113883.4.291	LanguaL	PH_Langual	Langual 2017	LANGUAL
B2072	RED CABBAGE 	Cabbage, red 		2.16.840.1.113883.4.291	LanguaL	PH_Langual	Langual 2017	LANGUAL
B2089	ROMAINE 	Romaine lettuce		2.16.840.1.113883.4.291	LanguaL	PH_Langual	Langual 2017	LANGUAL
B2415	SAVOY CABBAGE 	Cabbage, savoy 		2.16.840.1.113883.4.291	LanguaL	PH_Langual	Langual 2017	LANGUAL
B1420	Spinach	Spinach		2.16.840.1.113883.4.291	LanguaL	PH_Langual	Langual 2017	LANGUAL
UNK	unknown	Unknown type of lettuce	ZZ	2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
