Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Location performing blood or body fluid exposure procedure 	PHVS_LocationPerformingBBFExposureProcedure_CDC	2.16.840.1.114222.4.11.3227	1	Service delivery locations that may perform the procedure on human body involving blood or body fluid. This value set is based upon the HL7 V3 vocabulary.	Published	07/07/2009	CDA Public Health Case Report New Value Set

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
ACC	Accident site	Accident site		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20140716	ROLECODE
ALL	Allergy clinic	Allergy clinic		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20140716	ROLECODE
AMB	Ambulance	Ambulance		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20140716	ROLECODE
CARD	Ambulatory Health Care Facilities; Clinic/Center; Rehabilitation:Cardiac Facilities	Ambulatory Health Care Facilities; Clinic/Center; Rehabilitation:Cardiac Facilities		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20140716	ROLECODE
AMPUT	Amputee clinic	Amputee clinic		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20140716	ROLECODE
BMTC	Bone marrow transplant clinic	Bone marrow transplant clinic		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20140716	ROLECODE
BMTU	Bone marrow transplant unit	Bone marrow transplant unit		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20140716	ROLECODE
BREAST	Breast clinic	Breast clinic		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20140716	ROLECODE
CATH	Cardiac catheterization lab	Cardiac catheterization lab		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20140716	ROLECODE
CVDX	Cardiovascular diagnostics or therapeutics unit	Cardiovascular diagnostics or therapeutics unit		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20140716	ROLECODE
CHEST	Chest unit	Chest unit		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20140716	ROLECODE
CANC	Child and adolescent neurology clinic	Child and adolescent neurology clinic		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20140716	ROLECODE
CAPC	Child and adolescent psychiatry clinic	Child and adolescent psychiatry clinic		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20140716	ROLECODE
CHR	Chronic Care Facility	Chronic Care Facility		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20140716	ROLECODE
COAG	Coagulation clinic	Coagulation clinic		2.16.840.1.113883.5.111	RoleCode	PH_RoleCode_HL7_V3	20140716	ROLECODE
