Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Data Subtype	PHVS_MIME_MediaSubType_IANA	2.16.840.1.114222.4.11.1011	1	Encoding as defined by MIME (Multipurpose Internet Mail Extensions)	Published	10/22/2008	Initial Load VADS 3.0

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
32kadpcm	32kadpcm	32kadpcm		2.16.840.1.113883.6.10	MIME Media Type IANA	PH_MIME_MediaType_IANA	20070330	MEDIATYPE
3gpp	3gpp	3gpp		2.16.840.1.113883.6.10	MIME Media Type IANA	PH_MIME_MediaType_IANA	20070330	MEDIATYPE
3gpp2	3gpp2	3gpp2		2.16.840.1.113883.6.10	MIME Media Type IANA	PH_MIME_MediaType_IANA	20070330	MEDIATYPE
3gpp-tt	3gpp-tt	3gpp-tt		2.16.840.1.113883.6.10	MIME Media Type IANA	PH_MIME_MediaType_IANA	20070330	MEDIATYPE
ac3	ac3	ac3		2.16.840.1.113883.6.10	MIME Media Type IANA	PH_MIME_MediaType_IANA	20070330	MEDIATYPE
activemessage	activemessage	activemessage		2.16.840.1.113883.6.10	MIME Media Type IANA	PH_MIME_MediaType_IANA	20070330	MEDIATYPE
alternative	alternative	alternative		2.16.840.1.113883.6.10	MIME Media Type IANA	PH_MIME_MediaType_IANA	20070330	MEDIATYPE
AMR	AMR	AMR		2.16.840.1.113883.6.10	MIME Media Type IANA	PH_MIME_MediaType_IANA	20070330	MEDIATYPE
AMR-WB	AMR-WB	AMR-WB		2.16.840.1.113883.6.10	MIME Media Type IANA	PH_MIME_MediaType_IANA	20070330	MEDIATYPE
amr-wb+	amr-wb+	amr-wb+		2.16.840.1.113883.6.10	MIME Media Type IANA	PH_MIME_MediaType_IANA	20070330	MEDIATYPE
andrew-inset	andrew-inset	andrew-inset		2.16.840.1.113883.6.10	MIME Media Type IANA	PH_MIME_MediaType_IANA	20070330	MEDIATYPE
appledouble	appledouble	appledouble		2.16.840.1.113883.6.10	MIME Media Type IANA	PH_MIME_MediaType_IANA	20070330	MEDIATYPE
applefile	applefile	applefile		2.16.840.1.113883.6.10	MIME Media Type IANA	PH_MIME_MediaType_IANA	20070330	MEDIATYPE
asc	asc	asc		2.16.840.1.113883.6.10	MIME Media Type IANA	PH_MIME_MediaType_IANA	20070330	MEDIATYPE
atom+xml	atom+xml	atom+xml		2.16.840.1.113883.6.10	MIME Media Type IANA	PH_MIME_MediaType_IANA	20070330	MEDIATYPE
atomicmail	atomicmail	atomicmail		2.16.840.1.113883.6.10	MIME Media Type IANA	PH_MIME_MediaType_IANA	20070330	MEDIATYPE
basic	basic	basic		2.16.840.1.113883.6.10	MIME Media Type IANA	PH_MIME_MediaType_IANA	20070330	MEDIATYPE
batch-SMTP	batch-SMTP	batch-SMTP		2.16.840.1.113883.6.10	MIME Media Type IANA	PH_MIME_MediaType_IANA	20070330	MEDIATYPE
beep+xml	beep+xml	beep+xml		2.16.840.1.113883.6.10	MIME Media Type IANA	PH_MIME_MediaType_IANA	20070330	MEDIATYPE
BMPEG	BMPEG	BMPEG		2.16.840.1.113883.6.10	MIME Media Type IANA	PH_MIME_MediaType_IANA	20070330	MEDIATYPE
BT656	BT656	BT656		2.16.840.1.113883.6.10	MIME Media Type IANA	PH_MIME_MediaType_IANA	20070330	MEDIATYPE
BV16	BV16	BV16		2.16.840.1.113883.6.10	MIME Media Type IANA	PH_MIME_MediaType_IANA	20070330	MEDIATYPE
BV32	BV32	BV32		2.16.840.1.113883.6.10	MIME Media Type IANA	PH_MIME_MediaType_IANA	20070330	MEDIATYPE
byteranges	byteranges	byteranges		2.16.840.1.113883.6.10	MIME Media Type IANA	PH_MIME_MediaType_IANA	20070330	MEDIATYPE
calendar	calendar	calendar		2.16.840.1.113883.6.10	MIME Media Type IANA	PH_MIME_MediaType_IANA	20070330	MEDIATYPE
cals-1840	cals-1840	cals-1840		2.16.840.1.113883.6.10	MIME Media Type IANA	PH_MIME_MediaType_IANA	20070330	MEDIATYPE
ccxml+xml	ccxml+xml	ccxml+xml		2.16.840.1.113883.6.10	MIME Media Type IANA	PH_MIME_MediaType_IANA	20070330	MEDIATYPE
CelB	CelB	CelB		2.16.840.1.113883.6.10	MIME Media Type IANA	PH_MIME_MediaType_IANA	20070330	MEDIATYPE
cgm	cgm	cgm		2.16.840.1.113883.6.10	MIME Media Type IANA	PH_MIME_MediaType_IANA	20070330	MEDIATYPE
clearmode	clearmode	clearmode		2.16.840.1.113883.6.10	MIME Media Type IANA	PH_MIME_MediaType_IANA	20070330	MEDIATYPE
CN	CN	CN		2.16.840.1.113883.6.10	MIME Media Type IANA	PH_MIME_MediaType_IANA	20070330	MEDIATYPE
cnrp+xml	cnrp+xml	cnrp+xml		2.16.840.1.113883.6.10	MIME Media Type IANA	PH_MIME_MediaType_IANA	20070330	MEDIATYPE
commonground	commonground	commonground		2.16.840.1.113883.6.10	MIME Media Type IANA	PH_MIME_MediaType_IANA	20070330	MEDIATYPE
conference-info+xml	conference-info+xml	conference-info+xml		2.16.840.1.113883.6.10	MIME Media Type IANA	PH_MIME_MediaType_IANA	20070330	MEDIATYPE
CPIM	CPIM	CPIM		2.16.840.1.113883.6.10	MIME Media Type IANA	PH_MIME_MediaType_IANA	20070330	MEDIATYPE
cpl+xml	cpl+xml	cpl+xml		2.16.840.1.113883.6.10	MIME Media Type IANA	PH_MIME_MediaType_IANA	20070330	MEDIATYPE
css	css	css		2.16.840.1.113883.6.10	MIME Media Type IANA	PH_MIME_MediaType_IANA	20070330	MEDIATYPE
csta+xml	csta+xml	csta+xml		2.16.840.1.113883.6.10	MIME Media Type IANA	PH_MIME_MediaType_IANA	20070330	MEDIATYPE
CSTAdata+xml	CSTAdata+xml	CSTAdata+xml		2.16.840.1.113883.6.10	MIME Media Type IANA	PH_MIME_MediaType_IANA	20070330	MEDIATYPE
csv	csv	csv		2.16.840.1.113883.6.10	MIME Media Type IANA	PH_MIME_MediaType_IANA	20070330	MEDIATYPE
cybercash	cybercash	cybercash		2.16.840.1.113883.6.10	MIME Media Type IANA	PH_MIME_MediaType_IANA	20070330	MEDIATYPE
DAT12	DAT12	DAT12		2.16.840.1.113883.6.10	MIME Media Type IANA	PH_MIME_MediaType_IANA	20070330	MEDIATYPE
dca-rft	dca-rft	dca-rft		2.16.840.1.113883.6.10	MIME Media Type IANA	PH_MIME_MediaType_IANA	20070330	MEDIATYPE
dec-dx	dec-dx	dec-dx		2.16.840.1.113883.6.10	MIME Media Type IANA	PH_MIME_MediaType_IANA	20070330	MEDIATYPE
delivery-status	delivery-status	delivery-status		2.16.840.1.113883.6.10	MIME Media Type IANA	PH_MIME_MediaType_IANA	20070330	MEDIATYPE
dialog-info+xml	dialog-info+xml	dialog-info+xml		2.16.840.1.113883.6.10	MIME Media Type IANA	PH_MIME_MediaType_IANA	20070330	MEDIATYPE
dicom	dicom	dicom		2.16.840.1.113883.6.10	MIME Media Type IANA	PH_MIME_MediaType_IANA	20070330	MEDIATYPE
digest	digest	digest		2.16.840.1.113883.6.10	MIME Media Type IANA	PH_MIME_MediaType_IANA	20070330	MEDIATYPE
directory	directory	directory		2.16.840.1.113883.6.10	MIME Media Type IANA	PH_MIME_MediaType_IANA	20070330	MEDIATYPE
disposition-notification	disposition-notification	disposition-notification		2.16.840.1.113883.6.10	MIME Media Type IANA	PH_MIME_MediaType_IANA	20070330	MEDIATYPE
dls	dls	dls		2.16.840.1.113883.6.10	MIME Media Type IANA	PH_MIME_MediaType_IANA	20070330	MEDIATYPE
dns	dns	dns		2.16.840.1.113883.6.10	MIME Media Type IANA	PH_MIME_MediaType_IANA	20070330	MEDIATYPE
dsr-es201108	dsr-es201108	dsr-es201108		2.16.840.1.113883.6.10	MIME Media Type IANA	PH_MIME_MediaType_IANA	20070330	MEDIATYPE
dsr-es202050	dsr-es202050	dsr-es202050		2.16.840.1.113883.6.10	MIME Media Type IANA	PH_MIME_MediaType_IANA	20070330	MEDIATYPE
dsr-es202211	dsr-es202211	dsr-es202211		2.16.840.1.113883.6.10	MIME Media Type IANA	PH_MIME_MediaType_IANA	20070330	MEDIATYPE
