Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Marital Status (HL7)	PHVS_MaritalStatus_HL7_2x	2.16.840.1.114222.4.11.809	1	HL7 Table 0002 Marital Status codes	Published	10/22/2008	Initial Load VADS 3.0

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
N	Annulled	Annulled		2.16.840.1.113883.12.2	Marital status (HL7)	PH_MaritalStatus_HL7_2x	HL7 v2.5	HL70002
C	Common law	Common law		2.16.840.1.113883.12.2	Marital status (HL7)	PH_MaritalStatus_HL7_2x	HL7 v2.5	HL70002
D	Divorced	Divorced		2.16.840.1.113883.12.2	Marital status (HL7)	PH_MaritalStatus_HL7_2x	HL7 v2.5	HL70002
P	Domestic partner	Domestic partner		2.16.840.1.113883.12.2	Marital status (HL7)	PH_MaritalStatus_HL7_2x	HL7 v2.5	HL70002
I	Interlocutory	Interlocutory		2.16.840.1.113883.12.2	Marital status (HL7)	PH_MaritalStatus_HL7_2x	HL7 v2.5	HL70002
E	Legally Separated	Legally Separated		2.16.840.1.113883.12.2	Marital status (HL7)	PH_MaritalStatus_HL7_2x	HL7 v2.5	HL70002
G	Living together	Living together		2.16.840.1.113883.12.2	Marital status (HL7)	PH_MaritalStatus_HL7_2x	HL7 v2.5	HL70002
M	Married	Married		2.16.840.1.113883.12.2	Marital status (HL7)	PH_MaritalStatus_HL7_2x	HL7 v2.5	HL70002
O	Other	Other		2.16.840.1.113883.12.2	Marital status (HL7)	PH_MaritalStatus_HL7_2x	HL7 v2.5	HL70002
R	Registered domestic partner	Registered domestic partner		2.16.840.1.113883.12.2	Marital status (HL7)	PH_MaritalStatus_HL7_2x	HL7 v2.5	HL70002
A	Separated	Separated		2.16.840.1.113883.12.2	Marital status (HL7)	PH_MaritalStatus_HL7_2x	HL7 v2.5	HL70002
S	Single	Single		2.16.840.1.113883.12.2	Marital status (HL7)	PH_MaritalStatus_HL7_2x	HL7 v2.5	HL70002
U	Unknown	Unknown		2.16.840.1.113883.12.2	Marital status (HL7)	PH_MaritalStatus_HL7_2x	HL7 v2.5	HL70002
B	Unmarried	Unmarried		2.16.840.1.113883.12.2	Marital status (HL7)	PH_MaritalStatus_HL7_2x	HL7 v2.5	HL70002
T	Unreported	Unreported		2.16.840.1.113883.12.2	Marital status (HL7)	PH_MaritalStatus_HL7_2x	HL7 v2.5	HL70002
W	Widowed	Widowed		2.16.840.1.113883.12.2	Marital status (HL7)	PH_MaritalStatus_HL7_2x	HL7 v2.5	HL70002
