Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Material exposure type	PHVS_MaterialExposureType_CDC	2.16.840.1.114222.4.11.3211	2	Types of exposure related to material such as suspicious mail and powder including animal material. This value set is primarily based upon SNOMED CT Material (260769002) hierarchy.	Published	07/07/2009	Updated based on SNOMED 1/31/2010 Release

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
255913002	2-Hydroxyethyl methacrylate (substance)	2-Hydroxyethyl methacrylate		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
256276000	3-tree-Pharmacia pollen mix (substance)	3-tree-Pharmacia pollen mix		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
411044002	3-tree-Pharmacia pollen mix allergen (substance)	3-tree-Pharmacia pollen mix allergen		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
256287008	6-grass Pharmacia pollen mix (substance)	6-grass Pharmacia pollen mix		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
411019005	6-grass Pharmacia pollen mix allergen (substance)	6-grass Pharmacia pollen mix allergen		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
277792001	Abbe flap (substance)	Abbe flap		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
265775008	Abbe-Estlander flap (substance)	Abbe-Estlander flap		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
180682007	Abdomen random pattern flap (substance)	Abdomen random pattern flap		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
256764004	Abdominal flap (substance)	Abdominal flap		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
256817008	Abductor digiti minimi (foot) flap (substance)	Abductor digiti minimi (foot) flap		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
180814004	Abductor digiti minimi flap (substance)	Abductor digiti minimi flap		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
180776002	Abductor digiti minimi myocutaneous flap (substance)	Abductor digiti minimi myocutaneous flap		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
256818003	Abductor hallucis longus flap (substance)	Abductor hallucis longus flap		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
180787005	Abductor hallucis myocutaneous flap (substance)	Abductor hallucis myocutaneous flap		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
