Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Maternal Exposures (HL7)	PHVS_MaternalExposures_HL7	2.16.840.1.113883.10.14.1.1.13.4	1	Code to identify exposures to pregnant women. Such exposurse includes: potentially harmful chemical, physical, or biological agents in the environment or to environmental factors that may include ionizing radiation, pathogenic organisms, or toxic chemicals that may cause fetal morbidity.	Published	09/06/2017	Code to identify exposures to pregnant women. Such exposurse includes: potentially harmful chemical, physical, or biological agents in the environment or to environmental factors that may include ionizing radiation, pathogenic organisms, or toxic chemicals that may cause fetal morbidity.

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
242271001	Accidental exposure to aerosol paint	Accidental exposure to aerosol paint		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
242263000	Accidental exposure to alcohol	Accidental exposure to alcohol		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
242272008	Accidental exposure to blacking	Accidental exposure to blacking		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
242267004	Accidental exposure to bleach	Accidental exposure to bleach		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
242383002	Accidental exposure to carbon monoxide	Accidental exposure to carbon monoxide		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
242266008	Accidental exposure to cleaning agent	Accidental exposure to cleaning agent		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
242292001	Accidental exposure to corrosive or caustic chemical	Accidental exposure to corrosive or caustic chemical		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
242265007	Accidental exposure to ethanol	Accidental exposure to ethanol		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
242291008	Accidental exposure to fertilizer	Accidental exposure to fertilizer		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
242379002	Accidental exposure to inorganic mercury compound	Accidental exposure to inorganic mercury compound		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
