Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Meat Consumed Type (Trich)	PHVS_MeatConsumedType_Trich	2.16.840.1.114222.4.11.7668	1	Specify type of suspect meat consumed [i.e., meat item(s) suspected of making the person ill]	Published	02/08/2018	v1

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
B2406	Bear	Bear meat		2.16.840.1.113883.4.291	LanguaL	PH_Langual	Langual 2017	LANGUAL
B2248	Boar	Pork, wild (boar)		2.16.840.1.113883.4.291	LanguaL	PH_Langual	Langual 2017	LANGUAL
B1583	Deer	Deer meat		2.16.840.1.113883.4.291	LanguaL	PH_Langual	Langual 2017	LANGUAL
B1292	Elk	Elk meat		2.16.840.1.113883.4.291	LanguaL	PH_Langual	Langual 2017	LANGUAL
OTH	other	Other (including mixed meats)		2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
PHC363	pork from farm-raised pig	Pork, farm-raised		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
B1341	Seal	Seal meat		2.16.840.1.113883.4.291	LanguaL	PH_Langual	Langual 2017	LANGUAL
PHC502	Store bought pork	Pork, store-bought		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
UNK	unknown	Unknown	ZZ	2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
B2090	Walrus	Walrus meat		2.16.840.1.113883.4.291	LanguaL	PH_Langual	Langual 2017	LANGUAL
