Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Medical History (Listeria)	PHVS_MedicalHistory_Listeria	2.16.840.1.114222.4.11.7795	1	Medical history answer list for Listeria MMG	Published	05/08/2018	Medical history answer list for Listeria MMG

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
62479008	Acquired immune deficiency syndrome 	AIDS		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
60169008	Antacid (product)	Antacid Medications 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
PHC1994	Cancer Chemotherapy	Cancer Chemotherapy		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
230732009	Cerebral arteritis in giant cell arteritis (disorder)	Giant cell (temporal) arteritis 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
13645005	Chronic obstructive lung disease (disorder)	Chronic obstructive pulmonary disease (COPD)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
PHC2091	Cirrhosis/advanced liver disease	Cirrhosis/advanced liver disease		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
PHC1993	Corticosteroids/steroids	Corticosteroids/steroids		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
34000006	Crohn's disease (disorder)	Crohn's disease		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
73211009	Diabetes	Diabetes mellitus (disorder)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
420868002	Disorder due to type 1 diabetes mellitus (disorder)	Diabetes mellitus Type 1		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
422014003	Disorder due to type 2 diabetes mellitus (disorder)	Diabetes mellitus Type 2		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
PHC1996	Excessive alcohol use	Excessive alcohol use		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
56265001	Heart disease (disorder)	Heart Disease (specify)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
161663000	History of being a tissue or organ recipient (situation)	Organ transplant (specify)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
161693006	History of renal dialysis (situation)	kidney dialysis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
118599009	Hodgkin's disease (disorder)	Hodgkin's Lymphoma		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
385353004	Human immunodeficiency virus Centers for Disease Control and Prevention category finding (finding)	HIV (no AIDS)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
707311008	Immunosuppressants therapy	immunosuppressants		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
226034001	Injecting drug user (finding)	Injection drug user		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
60737008	Iron overload (disorder)	Hemochromatosis/iron overload		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
93143009	Leukemia, disease (disorder)	Leukemia		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
200936003	Lupus erythematosus (disorder)	Lupus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
118600007	Malignant lymphoma (disorder)	Lymphoma		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
363346000	Malignant neoplastic disease (disorder)	Cancer		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
109989006	Multiple myeloma (disorder)	Multiple myeloma		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
425333006	Myeloproliferative disorder (disorder)	Myeloproliferative disorder		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
PHC1997	No underlying conditions, medication or treatments (previously healthy)	No underlying conditions, medication or treatments (previously healthy)		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
118601006	Non-Hodgkin's lymphoma (disorder)	Non-Hodgkins's Lymphoma		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
OTH	Other	Other (specify)		2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
PHC2037	Other cancer/malignancy (specify)	Other cancer/malignancy (specify)		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
PHC1995	Other immunosuppressive therapy (specify)	Other immunosuppressive therapy (specify)		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
PHC1992	Pregnancy	Pregnancy		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
69896004	Rheumatoid arthritis (disorder) 	Rheumatoid arthritis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
31541009	Sarcoidosis (disorder)	Sarcoidosis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
417357006	Sickling disorder due to hemoglobin S (disorder)	Sickle cell disease		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
234319005	Splenectomy (procedure)	Splenectomy/asplenia		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
