Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Medication Received (TBRD)	PHVS_MedicationReceived_TBRD	2.16.840.1.114222.4.11.7834	2	What antibiotic did the patient receive for this episode?	Published	11/20/2018	added unknown to the value set

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
723	Amoxicillin	Amoxicillin		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
18631	Azithromycin	Azithromycin		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
2193	Ceftriaxone	Ceftriaxone		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
20493	Cefuroxime Axetil	Cefuroxime Axetil		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
2348	Chloramphenicol	Chloramphenicol		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
3640	Doxycycline	Doxycycline		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
OTH	other	other		2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
70618	Penicillins	Penicillins		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
9384	Rifampin	Rifampin		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
10831	Sulfamethoxazole / Trimethoprim	Sulfamethoxazole-trimethoprim		2.16.840.1.113883.6.88	RxNorm	PH_RxNorm	20200406	RXNORM
UNK	unknown	unknown	ZZ	2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
