Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Message Error Condition Codes (HL7)	PHVS_MessageErrorConditionCodes_HL7_2x	2.16.840.1.114222.4.11.974	2	Type of error that occurred while processing the message identified in MSA.2	Published	06/14/2018	Added new code 104 from HL7 v2.7

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
207	Application internal error	Application internal error		2.16.840.1.113883.12.357	Message error condition codes (HL7)	PH_MessageErrorConditionCodes_HL7_2x	HL7 v2.8.2	HL70357
206	Application record locked	Application record locked		2.16.840.1.113883.12.357	Message error condition codes (HL7)	PH_MessageErrorConditionCodes_HL7_2x	HL7 v2.8.2	HL70357
102	Data type error	Data type error		2.16.840.1.113883.12.357	Message error condition codes (HL7)	PH_MessageErrorConditionCodes_HL7_2x	HL7 v2.8.2	HL70357
205	Duplicate key identifier	Duplicate key identifier		2.16.840.1.113883.12.357	Message error condition codes (HL7)	PH_MessageErrorConditionCodes_HL7_2x	HL7 v2.8.2	HL70357
0	Message accepted	Message accepted		2.16.840.1.113883.12.357	Message error condition codes (HL7)	PH_MessageErrorConditionCodes_HL7_2x	HL7 v2.8.2	HL70357
101	Required field missing	Required field missing		2.16.840.1.113883.12.357	Message error condition codes (HL7)	PH_MessageErrorConditionCodes_HL7_2x	HL7 v2.8.2	HL70357
100	Segment sequence error	Segment sequence error		2.16.840.1.113883.12.357	Message error condition codes (HL7)	PH_MessageErrorConditionCodes_HL7_2x	HL7 v2.8.2	HL70357
103	Table value not found	Table value not found		2.16.840.1.113883.12.357	Message error condition codes (HL7)	PH_MessageErrorConditionCodes_HL7_2x	HL7 v2.8.2	HL70357
204	Unknown key identifier	Unknown key identifier		2.16.840.1.113883.12.357	Message error condition codes (HL7)	PH_MessageErrorConditionCodes_HL7_2x	HL7 v2.8.2	HL70357
201	Unsupported event code	Unsupported event code		2.16.840.1.113883.12.357	Message error condition codes (HL7)	PH_MessageErrorConditionCodes_HL7_2x	HL7 v2.8.2	HL70357
200	Unsupported message type	Unsupported message type		2.16.840.1.113883.12.357	Message error condition codes (HL7)	PH_MessageErrorConditionCodes_HL7_2x	HL7 v2.8.2	HL70357
202	Unsupported processing id	Unsupported processing id		2.16.840.1.113883.12.357	Message error condition codes (HL7)	PH_MessageErrorConditionCodes_HL7_2x	HL7 v2.8.2	HL70357
203	Unsupported version id	Unsupported version id		2.16.840.1.113883.12.357	Message error condition codes (HL7)	PH_MessageErrorConditionCodes_HL7_2x	HL7 v2.8.2	HL70357
104	Value too long	Value too long		2.16.840.1.113883.12.357	Message error condition codes (HL7)	PH_MessageErrorConditionCodes_HL7_2x	HL7 v2.8.2	HL70357
