Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Message Error Condition Codes (NCHS)	PHVS_MessageErrorConditionCodes_NCHS	2.16.840.1.114222.4.11.7513	1	A list, defined by HL7, of the possible communication error types that may be returned to characterize an error response.	Published	12/12/2017	Initial Import for : 1393EC20-4E32-E611-BD10-0017A477041A

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
0	Message accepted	Message accepted		2.16.840.1.113883.12.357	Message error condition codes (HL7)	PH_MessageErrorConditionCodes_HL7_2x	HL7 v2.8.2	HL70357
100	Segment sequence error	Segment sequence error		2.16.840.1.113883.12.357	Message error condition codes (HL7)	PH_MessageErrorConditionCodes_HL7_2x	HL7 v2.8.2	HL70357
101	Required field missing	Required field missing		2.16.840.1.113883.12.357	Message error condition codes (HL7)	PH_MessageErrorConditionCodes_HL7_2x	HL7 v2.8.2	HL70357
102	Data type error	Data type error		2.16.840.1.113883.12.357	Message error condition codes (HL7)	PH_MessageErrorConditionCodes_HL7_2x	HL7 v2.8.2	HL70357
103	Table value not found	Table value not found		2.16.840.1.113883.12.357	Message error condition codes (HL7)	PH_MessageErrorConditionCodes_HL7_2x	HL7 v2.8.2	HL70357
104	Value too long	Value too long		2.16.840.1.113883.12.357	Message error condition codes (HL7)	PH_MessageErrorConditionCodes_HL7_2x	HL7 v2.8.2	HL70357
198	Cardinality Error	Cardinality Error		2.16.840.1.113883.12.357	Message error condition codes (HL7)	PH_MessageErrorConditionCodes_HL7_2x	HL7 v2.8.2	HL70357
199	Other HL7 Error	Other HL7 Error		2.16.840.1.113883.12.357	Message error condition codes (HL7)	PH_MessageErrorConditionCodes_HL7_2x	HL7 v2.8.2	HL70357
200	Unsupported message type	Unsupported message type		2.16.840.1.113883.12.357	Message error condition codes (HL7)	PH_MessageErrorConditionCodes_HL7_2x	HL7 v2.8.2	HL70357
201	Unsupported event code	Unsupported event code		2.16.840.1.113883.12.357	Message error condition codes (HL7)	PH_MessageErrorConditionCodes_HL7_2x	HL7 v2.8.2	HL70357
207	Application internal error	Application internal error		2.16.840.1.113883.12.357	Message error condition codes (HL7)	PH_MessageErrorConditionCodes_HL7_2x	HL7 v2.8.2	HL70357
999	Application error	Application error		2.16.840.1.113883.12.357	Message error condition codes (HL7)	PH_MessageErrorConditionCodes_HL7_2x	HL7 v2.8.2	HL70357
