Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Message Structure (HL7)	PHVS_MessageStructure_HL7_2x	2.16.840.1.114222.4.11.3349	1	HL7 version 2.x Message structure used in chapter(s) 2; HL7 table 0354	Published	08/14/2010	HL7 v2.5

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
OMN_O07	007	007		2.16.840.1.113883.12.354	Message Structure (HL7)	PH_MessageStructure_HL7_2x	HL7 v2.5	HL70354
ORL_O22	022	022		2.16.840.1.113883.12.354	Message Structure (HL7)	PH_MessageStructure_HL7_2x	HL7 v2.5	HL70354
ADT_A01	A01, A04, A08, A13	A01, A04, A08, A13		2.16.840.1.113883.12.354	Message Structure (HL7)	PH_MessageStructure_HL7_2x	HL7 v2.5	HL70354
ADT_A02	A02	A02		2.16.840.1.113883.12.354	Message Structure (HL7)	PH_MessageStructure_HL7_2x	HL7 v2.5	HL70354
ADT_A03	A03	A03		2.16.840.1.113883.12.354	Message Structure (HL7)	PH_MessageStructure_HL7_2x	HL7 v2.5	HL70354
ADT_A05	A05, A14, A28, A31	A05, A14, A28, A31		2.16.840.1.113883.12.354	Message Structure (HL7)	PH_MessageStructure_HL7_2x	HL7 v2.5	HL70354
ADT_A06	A06, A07	A06, A07		2.16.840.1.113883.12.354	Message Structure (HL7)	PH_MessageStructure_HL7_2x	HL7 v2.5	HL70354
ADT_A09	A09, A10, A11, A12	A09, A10, A11, A12		2.16.840.1.113883.12.354	Message Structure (HL7)	PH_MessageStructure_HL7_2x	HL7 v2.5	HL70354
ADT_A15	A15	A15		2.16.840.1.113883.12.354	Message Structure (HL7)	PH_MessageStructure_HL7_2x	HL7 v2.5	HL70354
ADT_A16	A16	A16		2.16.840.1.113883.12.354	Message Structure (HL7)	PH_MessageStructure_HL7_2x	HL7 v2.5	HL70354
ADT_A17	A17	A17		2.16.840.1.113883.12.354	Message Structure (HL7)	PH_MessageStructure_HL7_2x	HL7 v2.5	HL70354
ADT_A18	A18	A18		2.16.840.1.113883.12.354	Message Structure (HL7)	PH_MessageStructure_HL7_2x	HL7 v2.5	HL70354
ADR_A19	A19	A19		2.16.840.1.113883.12.354	Message Structure (HL7)	PH_MessageStructure_HL7_2x	HL7 v2.5	HL70354
QRY_A19	A19	A19		2.16.840.1.113883.12.354	Message Structure (HL7)	PH_MessageStructure_HL7_2x	HL7 v2.5	HL70354
ADT_A20	A20	A20		2.16.840.1.113883.12.354	Message Structure (HL7)	PH_MessageStructure_HL7_2x	HL7 v2.5	HL70354
ADT_A21	A21, A22, A23, A25, A26, A27, A29, A32, A33	A21, A22, A23, A25, A26, A27, A29, A32, A33		2.16.840.1.113883.12.354	Message Structure (HL7)	PH_MessageStructure_HL7_2x	HL7 v2.5	HL70354
ADT_A24	A24	A24		2.16.840.1.113883.12.354	Message Structure (HL7)	PH_MessageStructure_HL7_2x	HL7 v2.5	HL70354
ADT_A30	A30, A34, A35, A36, A46, A47, A48, A49	A30, A34, A35, A36, A46, A47, A48, A49		2.16.840.1.113883.12.354	Message Structure (HL7)	PH_MessageStructure_HL7_2x	HL7 v2.5	HL70354
ADT_A37	A37	A37		2.16.840.1.113883.12.354	Message Structure (HL7)	PH_MessageStructure_HL7_2x	HL7 v2.5	HL70354
ADT_A38	A38	A38		2.16.840.1.113883.12.354	Message Structure (HL7)	PH_MessageStructure_HL7_2x	HL7 v2.5	HL70354
ADT_A39	A39, A40, A41, A42	A39, A40, A41, A42		2.16.840.1.113883.12.354	Message Structure (HL7)	PH_MessageStructure_HL7_2x	HL7 v2.5	HL70354
ADT_A43	A43, A44	A43, A44		2.16.840.1.113883.12.354	Message Structure (HL7)	PH_MessageStructure_HL7_2x	HL7 v2.5	HL70354
ADT_A45	A45	A45		2.16.840.1.113883.12.354	Message Structure (HL7)	PH_MessageStructure_HL7_2x	HL7 v2.5	HL70354
ADT_A50	A50, A51	A50, A51		2.16.840.1.113883.12.354	Message Structure (HL7)	PH_MessageStructure_HL7_2x	HL7 v2.5	HL70354
ADT_A52	A52, A53, A55	A52, A53, A55		2.16.840.1.113883.12.354	Message Structure (HL7)	PH_MessageStructure_HL7_2x	HL7 v2.5	HL70354
ADT_A54	A54	A54		2.16.840.1.113883.12.354	Message Structure (HL7)	PH_MessageStructure_HL7_2x	HL7 v2.5	HL70354
ADT_A60	A60	A60		2.16.840.1.113883.12.354	Message Structure (HL7)	PH_MessageStructure_HL7_2x	HL7 v2.5	HL70354
ADT_A61	A61, A62	A61, A62		2.16.840.1.113883.12.354	Message Structure (HL7)	PH_MessageStructure_HL7_2x	HL7 v2.5	HL70354
