Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Message Type (HL7)	PHVS_MessageType_HL7_2x	2.16.840.1.114222.4.11.3341	1	HL7 version 2.x Message type used in chapter(s) 2; HL7 table 076	Published	08/09/2010	Message Type - HL7 v2.5

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
PMU	Add personnel record	Add personnel record		2.16.840.1.113883.12.76	Message Type (HL7)	PH_MessageType_HL7_2x	HL7 v2.5	HL70076
BAR	Add/change billing account	Add/change billing account		2.16.840.1.113883.12.76	Message Type (HL7)	PH_MessageType_HL7_2x	HL7 v2.5	HL70076
ADT	ADT message	ADT message		2.16.840.1.113883.12.76	Message Type (HL7)	PH_MessageType_HL7_2x	HL7 v2.5	HL70076
ADR	ADT response	ADT response		2.16.840.1.113883.12.76	Message Type (HL7)	PH_MessageType_HL7_2x	HL7 v2.5	HL70076
NMD	Application management data message	Application management data message		2.16.840.1.113883.12.76	Message Type (HL7)	PH_MessageType_HL7_2x	HL7 v2.5	HL70076
NMQ	Application management query message	Application management query message		2.16.840.1.113883.12.76	Message Type (HL7)	PH_MessageType_HL7_2x	HL7 v2.5	HL70076
NMR	Application management response message	Application management response message		2.16.840.1.113883.12.76	Message Type (HL7)	PH_MessageType_HL7_2x	HL7 v2.5	HL70076
EAC	Automated equipment command message	Automated equipment command message		2.16.840.1.113883.12.76	Message Type (HL7)	PH_MessageType_HL7_2x	HL7 v2.5	HL70076
INR	Automated equipment inventory request message	Automated equipment inventory request message		2.16.840.1.113883.12.76	Message Type (HL7)	PH_MessageType_HL7_2x	HL7 v2.5	HL70076
INU	Automated equipment inventory update message	Automated equipment inventory update message		2.16.840.1.113883.12.76	Message Type (HL7)	PH_MessageType_HL7_2x	HL7 v2.5	HL70076
LSR	Automated equipment log/service request message	Automated equipment log/service request message		2.16.840.1.113883.12.76	Message Type (HL7)	PH_MessageType_HL7_2x	HL7 v2.5	HL70076
LSU	Automated equipment log/service update message	Automated equipment log/service update message		2.16.840.1.113883.12.76	Message Type (HL7)	PH_MessageType_HL7_2x	HL7 v2.5	HL70076
EAN	Automated equipment notification message	Automated equipment notification message		2.16.840.1.113883.12.76	Message Type (HL7)	PH_MessageType_HL7_2x	HL7 v2.5	HL70076
EAR	Automated equipment response message	Automated equipment response message		2.16.840.1.113883.12.76	Message Type (HL7)	PH_MessageType_HL7_2x	HL7 v2.5	HL70076
ESR	Automated equipment status update acknowledgment message	Automated equipment status update acknowledgment message		2.16.840.1.113883.12.76	Message Type (HL7)	PH_MessageType_HL7_2x	HL7 v2.5	HL70076
ESU	Automated equipment status update message	Automated equipment status update message		2.16.840.1.113883.12.76	Message Type (HL7)	PH_MessageType_HL7_2x	HL7 v2.5	HL70076
TCR	Automated equipment test code settings request message	Automated equipment test code settings request message		2.16.840.1.113883.12.76	Message Type (HL7)	PH_MessageType_HL7_2x	HL7 v2.5	HL70076
TCU	Automated equipment test code settings update message	Automated equipment test code settings update message		2.16.840.1.113883.12.76	Message Type (HL7)	PH_MessageType_HL7_2x	HL7 v2.5	HL70076
BRP	Blood product dispense status acknowledgement message	Blood product dispense status acknowledgement message		2.16.840.1.113883.12.76	Message Type (HL7)	PH_MessageType_HL7_2x	HL7 v2.5	HL70076
BPS	Blood product dispense status message	Blood product dispense status message		2.16.840.1.113883.12.76	Message Type (HL7)	PH_MessageType_HL7_2x	HL7 v2.5	HL70076
ORB	Blood product order acknowledgement message	Blood product order acknowledgement message		2.16.840.1.113883.12.76	Message Type (HL7)	PH_MessageType_HL7_2x	HL7 v2.5	HL70076
OMB	Blood product order message	Blood product order message		2.16.840.1.113883.12.76	Message Type (HL7)	PH_MessageType_HL7_2x	HL7 v2.5	HL70076
