Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Method of Delivery Cesarean Finding (NCHS) 	PHVS_MethodOfDeliveryCesareanFinding_NCHS	2.16.840.1.114222.4.11.7527 	1	To reflect the physical process by which the cesarean delivery of the fetus was effected	Published	08/01/2017	v1

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
200144004	Deliveries by cesarean (finding)	Deliveries by cesarean (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
200147006	Cesarean section - pregnancy at term (finding)	Cesarean section - pregnancy at term (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
200151008	Cesarean section following previous cesarean section (finding)	Cesarean section following previous cesarean section (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
302253005	Delivered by cesarean section - pregnancy at term (finding)	Delivered by cesarean section - pregnancy at term (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
200150009	Delivery by cesarean hysterectomy (finding	Delivery by cesarean hysterectomy (finding		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
712654009	Delivery by cesarean section for breech presentation (finding)	Delivery by cesarean section for breech presentation (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
712655005	Delivery by cesarean section for flexed breech presentation (finding)	Delivery by cesarean section for flexed breech presentation (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
712653003	Delivery by cesarean section for footling breech presentation (finding)	Delivery by cesarean section for footling breech presentation (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
371607000	Hematoma of cesarean section (disorder)	Hematoma of cesarean section (disorder)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
200146002	Cesarean delivery - delivered (finding)	Cesarean delivery - delivered (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
200148001	Delivery by elective cesarean section (finding)	Delivery by elective cesarean section (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
200149009	Delivery by emergency cesarean section (finding)	Delivery by emergency cesarean section (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
199331008	Multiple delivery, all by cesarean section (finding)	Multiple delivery, all by cesarean section (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
38451000119105	Failed attempted vaginal birth after previous cesarean section (disorder)	Failed attempted vaginal birth after previous cesarean section (disorder)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
398058003	Pain during regional anesthesia for cesarean section (finding	Pain during regional anesthesia for cesarean section (finding		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
10751701000119102	Spontaneous onset of labor between 37 and 39 weeks gestation with planned cesarean section (finding)	Spontaneous onset of labor between 37 and 39 weeks gestation with planned cesarean section (finding)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
48888007	Placenta previa found before labor AND delivery by cesarean section without hemorrhage (disorder)	Placenta previa found before labor AND delivery by cesarean section without hemorrhage (disorder)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
