Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Method of Race and Ethnicity Data Collection	PHVS_MethodOfRaceAndEthnicityDataCollection_CDC	2.16.840.1.114222.4.11.3588	1	The Race or Ethnicity Collection code provides a method of describing how information on race or ethnicity is collected in various data gathering systems.	Published	12/11/2010	version 1.0

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
114-9	...more than one choice of race allowed	...more than one choice of race allowed		2.16.840.1.114222.4.5.303	Method of Race and Ethnicity Data Collection	PH_MethodOfRaceAndEthnicityDataCollection_CDC	1.0	CDCRECDCM
136-2	...more than one choice of race allowed	...more than one choice of race allowed		2.16.840.1.114222.4.5.303	Method of Race and Ethnicity Data Collection	PH_MethodOfRaceAndEthnicityDataCollection_CDC	1.0	CDCRECDCM
142-0	...more than one choice of race allowed	...more than one choice of race allowed		2.16.840.1.114222.4.5.303	Method of Race and Ethnicity Data Collection	PH_MethodOfRaceAndEthnicityDataCollection_CDC	1.0	CDCRECDCM
108-1	...more than one choice of race allowed
	...more than one choice of race allowed
		2.16.840.1.114222.4.5.303	Method of Race and Ethnicity Data Collection	PH_MethodOfRaceAndEthnicityDataCollection_CDC	1.0	CDCRECDCM
106-5	...single choice of race allowed	...single choice of race allowed		2.16.840.1.114222.4.5.303	Method of Race and Ethnicity Data Collection	PH_MethodOfRaceAndEthnicityDataCollection_CDC	1.0	CDCRECDCM
112-3	...single choice of race allowed	...single choice of race allowed		2.16.840.1.114222.4.5.303	Method of Race and Ethnicity Data Collection	PH_MethodOfRaceAndEthnicityDataCollection_CDC	1.0	CDCRECDCM
134-7	...single choice of race allowed	...single choice of race allowed		2.16.840.1.114222.4.5.303	Method of Race and Ethnicity Data Collection	PH_MethodOfRaceAndEthnicityDataCollection_CDC	1.0	CDCRECDCM
140-4	...single choice of race allowed	...single choice of race allowed		2.16.840.1.114222.4.5.303	Method of Race and Ethnicity Data Collection	PH_MethodOfRaceAndEthnicityDataCollection_CDC	1.0	CDCRECDCM
104-0	..ethnicity question asked before race question	..ethnicity question asked before race question		2.16.840.1.114222.4.5.303	Method of Race and Ethnicity Data Collection	PH_MethodOfRaceAndEthnicityDataCollection_CDC	1.0	CDCRECDCM
132-1	..ethnicity question asked before race question	..ethnicity question asked before race question		2.16.840.1.114222.4.5.303	Method of Race and Ethnicity Data Collection	PH_MethodOfRaceAndEthnicityDataCollection_CDC	1.0	CDCRECDCM
160-2	..ethnicity question asked before race question	..ethnicity question asked before race question		2.16.840.1.114222.4.5.303	Method of Race and Ethnicity Data Collection	PH_MethodOfRaceAndEthnicityDataCollection_CDC	1.0	CDCRECDCM
120-6	..more than one choice allowed	..more than one choice allowed		2.16.840.1.114222.4.5.303	Method of Race and Ethnicity Data Collection	PH_MethodOfRaceAndEthnicityDataCollection_CDC	1.0	CDCRECDCM
126-3	..more than one choice allowed	..more than one choice allowed		2.16.840.1.114222.4.5.303	Method of Race and Ethnicity Data Collection	PH_MethodOfRaceAndEthnicityDataCollection_CDC	1.0	CDCRECDCM
148-7	..more than one choice allowed	..more than one choice allowed		2.16.840.1.114222.4.5.303	Method of Race and Ethnicity Data Collection	PH_MethodOfRaceAndEthnicityDataCollection_CDC	1.0	CDCRECDCM
154-5	..more than one choice allowed	..more than one choice allowed		2.16.840.1.114222.4.5.303	Method of Race and Ethnicity Data Collection	PH_MethodOfRaceAndEthnicityDataCollection_CDC	1.0	CDCRECDCM
168-5	..more than one choice allowed	..more than one choice allowed		2.16.840.1.114222.4.5.303	Method of Race and Ethnicity Data Collection	PH_MethodOfRaceAndEthnicityDataCollection_CDC	1.0	CDCRECDCM
174-3	..more than one choice allowed	..more than one choice allowed		2.16.840.1.114222.4.5.303	Method of Race and Ethnicity Data Collection	PH_MethodOfRaceAndEthnicityDataCollection_CDC	1.0	CDCRECDCM
110-7	..race question asked before ethnicity question	..race question asked before ethnicity question		2.16.840.1.114222.4.5.303	Method of Race and Ethnicity Data Collection	PH_MethodOfRaceAndEthnicityDataCollection_CDC	1.0	CDCRECDCM
138-8	..race question asked before ethnicity question	..race question asked before ethnicity question		2.16.840.1.114222.4.5.303	Method of Race and Ethnicity Data Collection	PH_MethodOfRaceAndEthnicityDataCollection_CDC	1.0	CDCRECDCM
162-8	..race question asked before ethnicity question	..race question asked before ethnicity question		2.16.840.1.114222.4.5.303	Method of Race and Ethnicity Data Collection	PH_MethodOfRaceAndEthnicityDataCollection_CDC	1.0	CDCRECDCM
118-0	..single choice allowed	..single choice allowed		2.16.840.1.114222.4.5.303	Method of Race and Ethnicity Data Collection	PH_MethodOfRaceAndEthnicityDataCollection_CDC	1.0	CDCRECDCM
124-8	..single choice allowed	..single choice allowed		2.16.840.1.114222.4.5.303	Method of Race and Ethnicity Data Collection	PH_MethodOfRaceAndEthnicityDataCollection_CDC	1.0	CDCRECDCM
146-1	..single choice allowed	..single choice allowed		2.16.840.1.114222.4.5.303	Method of Race and Ethnicity Data Collection	PH_MethodOfRaceAndEthnicityDataCollection_CDC	1.0	CDCRECDCM
