Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Mexican Health Jurisdictions (BIDS)	PHVS_MexicanHealthJurisdictions_BIDS	2.16.840.1.114222.4.11.7159	1	Defines Mexican Health Jurisdictions	Published	11/07/2013	Initial Import for : 53422B33-EA47-E311-8CC9-0017A477041A

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
GUA-Jur04	Acámbaro	Acambaro		2.16.840.1.114222.4.5.308	Mexican Health Jurisdictions (BIDS)	PH_MexicanHealthJurisdictions_BIDS	1	MHJBIDS
GRO-Jur07	Acapulco	Acapulco		2.16.840.1.114222.4.5.308	Mexican Health Jurisdictions (BIDS)	PH_MexicanHealthJurisdictions_BIDS	1	MHJBIDS
PUE-Jur08	Acatlán	Acatlan		2.16.840.1.114222.4.5.308	Mexican Health Jurisdictions (BIDS)	PH_MexicanHealthJurisdictions_BIDS	1	MHJBIDS
HID-Jur07	Actopan	Actopan		2.16.840.1.114222.4.5.308	Mexican Health Jurisdictions (BIDS)	PH_MexicanHealthJurisdictions_BIDS	1	MHJBIDS
COA-Jur02	Acuña	Acuna		2.16.840.1.114222.4.5.308	Mexican Health Jurisdictions (BIDS)	PH_MexicanHealthJurisdictions_BIDS	1	MHJBIDS
AGU-Jur01	Aguascalientes	Aguascalientes		2.16.840.1.114222.4.5.308	Mexican Health Jurisdictions (BIDS)	PH_MexicanHealthJurisdictions_BIDS	1	MHJBIDS
TAM-Jur12	Altamira	Altamira		2.16.840.1.114222.4.5.308	Mexican Health Jurisdictions (BIDS)	PH_MexicanHealthJurisdictions_BIDS	1	MHJBIDS
DIF-Jur05	Álvaro Obregón	Alvaro Obregon		2.16.840.1.114222.4.5.308	Mexican Health Jurisdictions (BIDS)	PH_MexicanHealthJurisdictions_BIDS	1	MHJBIDS
JAL-Jur09	Ameca	Ameca		2.16.840.1.114222.4.5.308	Mexican Health Jurisdictions (BIDS)	PH_MexicanHealthJurisdictions_BIDS	1	MHJBIDS
MEX-Jur16	Amecameca	Amecameca		2.16.840.1.114222.4.5.308	Mexican Health Jurisdictions (BIDS)	PH_MexicanHealthJurisdictions_BIDS	1	MHJBIDS
