Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Microorganism (ARLN)	PHVS_Microorganism_ARLN	2.16.840.1.114222.4.11.7922	1	Organism codes from SNOMED, PLR, and NULLFL	Published	10/23/2019	v1

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
OTH	other	other		2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
PLR2179	Klebsiella quasipneumoniae (organism)	Klebsiella quasipneumoniae		2.16.840.1.114222.4.5.289	Lab Result (PHLIP)	PH_LabResult_PHLIP	1.33	PLR
PLR557	Other Enterobacter species (organism)	Other Enterobacter species		2.16.840.1.114222.4.5.289	Lab Result (PHLIP)	PH_LabResult_PHLIP	1.33	PLR
PLR4229	Candida aaseri (organism)	Candida aaseri		2.16.840.1.114222.4.5.289	Lab Result (PHLIP)	PH_LabResult_PHLIP	1.33	PLR
PLR4230	Candida capsuligena (organism)	Candida capsuligena		2.16.840.1.114222.4.5.289	Lab Result (PHLIP)	PH_LabResult_PHLIP	1.33	PLR
PLR4234	Candida famata var. flareri (organism)	Candida famata var. flareri		2.16.840.1.114222.4.5.289	Lab Result (PHLIP)	PH_LabResult_PHLIP	1.33	PLR
PLR4235	Candida langeronii (organism)	Candida langeronii		2.16.840.1.114222.4.5.289	Lab Result (PHLIP)	PH_LabResult_PHLIP	1.33	PLR
PLR4236	Candida neorugosa (organism)	Candida neorugosa		2.16.840.1.114222.4.5.289	Lab Result (PHLIP)	PH_LabResult_PHLIP	1.33	PLR
PLR4233	Candida pseudoaaseri (organism)	Candida pseudoaaseri		2.16.840.1.114222.4.5.289	Lab Result (PHLIP)	PH_LabResult_PHLIP	1.33	PLR
PLR4232	Candida pseudorugosa (organism)	Candida pseudorugosa		2.16.840.1.114222.4.5.289	Lab Result (PHLIP)	PH_LabResult_PHLIP	1.33	PLR
PLR4231	Candida subhashii (organism)	Candida subhashii		2.16.840.1.114222.4.5.289	Lab Result (PHLIP)	PH_LabResult_PHLIP	1.33	PLR
264868006	No growth (qualifier value)	No growth		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
264887000	Not isolated (qualifier value)	Not isolated		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
373121007	Test not done (qualifier value)	Test not done		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
445721008	Carbapenem resistant Acinetobacter (organism)	Carbapenem resistant Acinetobacter		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
446157004	Multidrug resistant Acinetobacter (organism)	Multidrug resistant Acinetobacter		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
715174007	Carbapenem resistant Acinetobacter baumannii (organism)	Carbapenem resistant Acinetobacter baumannii		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
447891000124105	Multidrug resistant Acinetobacter baumannii (organism)	Multidrug resistant Acinetobacter baumannii		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
715353004	Multiple drug-resistant Acinetobacter baumannii (organism)	Multiple drug-resistant Acinetobacter baumannii		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
