Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Microorganism (NETSS)	PHVS_Microorganism_NETSS	2.16.840.1.114222.4.11.3420	1		Published	01/06/2011	NETSS related data elements

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
413857000	Class Actinobacteria (organism)	Class Actinobacteria (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
131263000	Enterobacter species (organism)	Enterobacter species (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
112283007	Escherichia coli (organism)	Escherichia coli (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
44470000	Haemophilus influenzae (organism)	Haemophilus influenzae (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
131269001	Klebsiella species (organism)	Klebsiella species (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
36094007	Listeria monocytogenes (organism)	Listeria monocytogenes (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
17872004	Neisseria meningitidis (organism)	Neisseria meningitidis (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
OTH	other	other		2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
116497004	Serratia species (organism)	Serratia species (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
3092008	Staphylococcus aureus (organism)	Staphylococcus aureus (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
60875001	Staphylococcus epidermidis (organism)	Staphylococcus epidermidis (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
9861002	Streptococcus pneumoniae (organism)	Streptococcus pneumoniae (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
67297007	Streptococcus, group A (organism)	Streptococcus, group A (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
42518002	Streptococcus, group B (organism)	Streptococcus, group B (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
55547008	Streptococcus, group D (organism)	Streptococcus, group D (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
