Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Microorganism (RIBD)	PHVS_Microorganism_RIBD	2.16.840.1.114222.4.11.7686	1	Bacterial species isolated.
	Published	06/10/2019	v1

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
55247009	Bacteroides fragilis (organism)	Bacteroides fragilis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
113669008	Burkholderia cepacia (organism) 	Pseudomonas cepacia		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
82170005	Candiru virus (organism)	Candiru virus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
63938009	Chlamydia trachomatis (organism) 	Chlamydia trachomatis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
103514009	Chlamydophila pneumoniae (organism)	Chlamydophila pneumoniae		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
14590003	Chlamydophila psittaci (organism)	Chlamydophila psittaci		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
114264004	Citrobacter koseri (organism) 	Citrobacter koseri (C. diversus)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
131256000	Citrobacter species (organism)	Citrobacter species		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
14385002	Enterobacter cloacae (organism)	Enterobacter cloacae		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
112283007	Escherichia coli (organism)	Escherichia coli		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
57522007	Genus Bacteroides (organism)	Bacteroides		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
35408001	Genus Campylobacter (organism)	Campylobacter		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
3265006	Genus Candida (organism)	Candida		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
75972000	Genus Citrobacter (organism)	Citrobacter		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
58683007	Genus Enterobacter (organism)	Enterobacter		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
2785000	Genus Enterococcus (organism)	Genus Enterococcus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
75032006	Genus Klebsiella (organism)	Klebsiella		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
243417000	Genus Peptostreptococcus (organism)	Peptostreptococcus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
50517009	Genus Proteus (organism)	Proteus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
57032008	Genus Pseudomonas (organism)	Pseudomonas		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
27268008	Genus Salmonella (organism)	Salmonella		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
77352002	Genus Shigella (organism)	Shigella		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
58800005	Genus Streptococcus (organism) 	Other Streptococcus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
34872001	Genus Vibrio (organism)	Vibrio		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
44470000	Haemophilus influenzae (organism)	Haemophilus influenzae		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
40886007	Klebsiella oxytoca (organism)	Klebsiella oxytoca		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
