Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Microorganism (STD)	PHVS_Microorganism_STD	2.16.840.1.114222.4.11.7934	1	STD Microorganisms/infectious agents
	Published	04/17/2020	v1

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
277503000	Cephalosporin-resistant Neisseria gonorrhoeae (organism)	Cephalosporin-resistant Neisseria gonorrhoeae		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
63938009	Chlamydia trachomatis (organism)	Chlamydia trachomatis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
115293007	Chlamydia trachomatis, serotype D (organism)	Chlamydia trachomatis, serotype D		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
115294001	Chlamydia trachomatis, serotype E (organism)	Chlamydia trachomatis, serotype E		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
115295000	Chlamydia trachomatis, serotype F (organism)	Chlamydia trachomatis, serotype F		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
115319008	Chlamydia trachomatis, serotype G (organism)	Chlamydia trachomatis, serotype G		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
115328009	Chlamydia trachomatis, serotype H (organism)	Chlamydia trachomatis, serotype H		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
115296004	Chlamydia trachomatis, serotype I (organism)	Chlamydia trachomatis, serotype I		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
115297008	Chlamydia trachomatis, serotype J (organism)	Chlamydia trachomatis, serotype J		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
442505006	Chlamydia trachomatis, serotype Ja (organism)	Chlamydia trachomatis, serotype Ja		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
115298003	Chlamydia trachomatis, serotype K (organism)	Chlamydia trachomatis, serotype K		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
115299006	Chlamydia trachomatis, serotype L (organism)	Chlamydia trachomatis, serotype L		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
115300003	Chlamydia trachomatis, serotype L1 (organism)	Chlamydia trachomatis, serotype L1		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
115301004	Chlamydia trachomatis, serotype L2 (organism)	Chlamydia trachomatis, serotype L2		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
115318000	Chlamydia trachomatis, serotype L3 (organism)	Chlamydia trachomatis, serotype L3		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
409805000	Fluoroquinolone-resistant Neisseria gonorrhoeae (organism)	Fluoroquinolone-resistant Neisseria gonorrhoeae		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
64889004	Haemophilus ducreyi (organism)	Haemophilus ducreyi		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
68704007	Neisseria gonorrhoeae (organism)	Neisseria gonorrhoeae		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
414809001	Neisseria gonorrhoeae, beta lactamase negative (organism)	Neisseria gonorrhoeae, beta lactamase negative		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
OTH	Other	Other		2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
277501003	Penicillinase-producing Neisseria gonorrhoeae (organism)	Penicillinase-producing Neisseria gonorrhoeae		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
277504006	Spectinomycin-resistant Neisseria gonorrhoeae (organism)	Spectinomycin-resistant Neisseria gonorrhoeae		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
277502005	Tetracycline-resistant Neisseria gonorrhoeae (organism)	Tetracycline-resistant Neisseria gonorrhoeae		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
72904005	Treponema pallidum (organism)	Treponema pallidum		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
44106000	Treponema pallidum ss. endemicum (organism)	Treponema pallidum ss. endemicum		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
43454006	Treponema pallidum ss. pallidum (organism)	Treponema pallidum ss. pallidum		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
6246005	Treponema pallidum ss. pertenue (organism)	Treponema pallidum ss. pertenue		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
UNK	unknown	unknown	ZZ	2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
