Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Microscopic Exam Culture Site (TB)	PHVS_MicroscopicExamCultureSite_TB	2.16.840.1.114222.4.11.1010	3	Culture sites for TB	Published	10/22/2008	Added Sputum to the value set

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
23451007	Adrenal structure (body structure)	Adrenal structure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
362102006	All teeth, gums and supporting structures (body structure)	All teeth, gums and supporting structures		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
53505006	Anal structure (body structure)	Anal structure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
66754008	Appendix structure (body structure)	Appendix structure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
C0541696	Bile and pancreatic fluid	Bile and pancreatic fluid		2.16.840.1.113883.6.86	UMLS	PH_UMLS	20200301	UML
87612001	Blood (substance)	Blood		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
59820001	Blood vessel structure (body structure)	Blood vessel structure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
14016003	Bone marrow structure (body structure)	Bone marrow structure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
272673000	Bone structure (body structure)	Bone structure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
12738006	Brain structure (body structure)	Brain structure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
226789007	Breast milk (substance)	Breast milk		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
76752008	Breast structure (body structure)	Breast structure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
258446004	Bronchial fluid sample (specimen)	Bronchial fluid sample		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
955009	Bronchial structure (body structure)	Bronchial structure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
55214000	Bronchiole structure (body structure)	Bronchiole structure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
17401000	Cardiac valve structure (body structure)	Cardiac valve structure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
65216001	Cerebrospinal fluid (substance)	Cerebrospinal fluid		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
71252005	Cervix uteri structure (body structure)	Cervix uteri structure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
71854001	Colon structure (body structure)	Colon structure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
38848004	Duodenal structure (body structure)	Duodenal structure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
2739003	Endometrial structure (body structure)	Endometrial structure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
110887005	Epididymis, vas deferens, spermatic cord and scrotum (combined site) (body structure)	Epididymis, vas deferens, spermatic cord and scrotum, CS		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
110547006	Epiglottis and larynx (combined site) (body structure)	Epiglottis and larynx, CS		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
32849002	Esophageal structure (body structure)	Esophageal structure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
16014003	Extrahepatic duct structure (body structure)	Extrahepatic duct structure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
PHC4	Eye and ear appendages	Eye and ear appendages		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
110850002	Fallopian tube, broad ligament, parametrium and parovarian region (combined site) (body structure)	Fallopian tube, broad ligament, parametrium and parovarian region, CS		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
39477002	Feces (substance)	Feces		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
50473004	Female genital fluid (substance)	Female genital fluid		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
C0230999	Fetus and embryo	Fetus and embryo		2.16.840.1.113883.6.86	UMLS	PH_UMLS	20200301	UML
28231008	Gallbladder structure (body structure)	Gallbladder structure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
168137004	Gastric aspirate sample (specimen)	Gastric aspirate sample		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
80891009	Heart structure (body structure)	Heart structure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
110611003	Jejunum and ileum (combined site) (body structure)	Jejunum and ileum, CS		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
64033007	Kidney structure (body structure)	Kidney structure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
48477009	Lip structure (body structure)	Lip structure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
10200004	Liver structure (body structure)	Liver structure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
39607008	Lung structure (body structure)	Lung structure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
23378005	Male genital fluid (substance)	Male genital fluid		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
PHC8	Meninges, dural sinus, choroid plexus	Meninges, dural sinus, choroid plexus		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
110708006	Middle ear and mastoid cells (body structure)	Middle ear and mastoid cells		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
123851003	Mouth region structure (body structure)	Mouth region structure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
PHC6	Multiple Body Sites	Multiple Sites		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
27232003	Myometrial structure (body structure)	Myometrial structure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
45206002	Nasal structure (body structure)	Nasal structure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
71836000	Nasopharyngeal structure (body structure)	Nasopharyngeal structure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
PHC7	Omentum and peritoneum	Omentum and peritoneum		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
OTH	other	Other		2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
15497006	Ovarian structure (body structure)	Ovarian structure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
15776009	Pancreatic structure (body structure)	Pancreatic structure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
120228005	Paranasal sinus part (body structure)	Paranasal sinus part		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
18911002	Penile structure (body structure)	Penile structure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
34429004	Pericardial fluid (substance)	Pericardial fluid		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
76848001	Pericardial structure (body structure)	Pericardial structure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
409614007	Peritoneal fluid (substance)	Peritoneal fluid		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
54066008	Pharyngeal structure (body structure)	Pharyngeal structure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
56329008	Pituitary structure (body structure)	Pituitary structure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
110973009	Placenta, umbilical cord and implantation site (combined site) (body structure)	Placenta, umbilical cord and implantation site, CS		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
2778004	Pleural fluid (substance)	Pleural fluid		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
3120008	Pleural membrane structure (body structure)	Pleural structure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
110651000	Prostate and seminal vesicle (combined site) (body structure)	Prostate and seminal vesicle, CS		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
11311000	Pus (substance)	Pus		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
34402009	Rectum structure (body structure)	Rectum structure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
25990002	Renal pelvis structure (body structure)	Renal pelvis structure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
256897009	Saliva (substance)	Saliva		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
