Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Name Type (HL7)	PHVS_NameType_HL7_2x	2.16.840.1.114222.4.11.810	2	HL7 table 0200 contains types of person names, including Maiden and Alias.	Published	08/31/2011	updated artist name

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
C	Adopted Name	Adopted Name		2.16.840.1.113883.12.200	Name type (HL7)	PH_NameType_HL7_2x	HL7 v2.8	HL70200
A	Alias Name	Alias Name		2.16.840.1.113883.12.200	Name type (HL7)	PH_NameType_HL7_2x	HL7 v2.8	HL70200
K	Artist Name	Artist Name		2.16.840.1.113883.12.200	Name type (HL7)	PH_NameType_HL7_2x	HL7 v2.8	HL70200
S	Coded Pseudo-Name to ensure anonymity	Coded Pseudo-Name to ensure anonymity		2.16.840.1.113883.12.200	Name type (HL7)	PH_NameType_HL7_2x	HL7 v2.8	HL70200
D	Display Name	Display Name		2.16.840.1.113883.12.200	Name type (HL7)	PH_NameType_HL7_2x	HL7 v2.8	HL70200
T	Indigenous/Tribal/Community Name	Indigenous/Tribal/Community Name		2.16.840.1.113883.12.200	Name type (HL7)	PH_NameType_HL7_2x	HL7 v2.8	HL70200
L	Legal Name	Legal Name		2.16.840.1.113883.12.200	Name type (HL7)	PH_NameType_HL7_2x	HL7 v2.8	HL70200
I	Licensing Name	Licensing Name		2.16.840.1.113883.12.200	Name type (HL7)	PH_NameType_HL7_2x	HL7 v2.8	HL70200
M	Maiden Name	Maiden Name		2.16.840.1.113883.12.200	Name type (HL7)	PH_NameType_HL7_2x	HL7 v2.8	HL70200
B	Name at Birth	Name at Birth		2.16.840.1.113883.12.200	Name type (HL7)	PH_NameType_HL7_2x	HL7 v2.8	HL70200
P	Name of Partner/Spouse (retained for backward compatibility only)	Name of Partner/Spouse (retained for backward compatibility only)		2.16.840.1.113883.12.200	Name type (HL7)	PH_NameType_HL7_2x	HL7 v2.8	HL70200
N	Nickname /_Call me_ Name/Street Name	Nickname /_Call me_ Name/Street Name		2.16.840.1.113883.12.200	Name type (HL7)	PH_NameType_HL7_2x	HL7 v2.8	HL70200
R	Registered Name (animals only)	Registered Name (animals only)		2.16.840.1.113883.12.200	Name type (HL7)	PH_NameType_HL7_2x	HL7 v2.8	HL70200
U	Unspecified	Unspecified		2.16.840.1.113883.12.200	Name type (HL7)	PH_NameType_HL7_2x	HL7 v2.8	HL70200
