Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Newborn Congenital Anomalies (NCHS)	PHVS_NewbornCongenitalAnomalies_NCHS	2.16.840.1.114222.4.11.7122	1	The value set contain the list of values use to specify malformations of the newborn diagnosed prenatally or after delivery.	Published	06/28/2013	Initial Import for : ADE9B981-2DA8-E211-A4E6-0017A477041A

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
89369001	Anencephalus	Anencephaly		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
67531005	Spina bifida 	Meningomyelocele/Spina bifida		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
12770006	Cyanotic congenital heart disease	Cyanotic congenital heart disease		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
17190001	Congenital diaphragmatic hernia	Congenital diaphragmatic hernia		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
18735004	Congenital omphalocele	Omphalocele		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
72951007	Gastroschisis	Gastroschisis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
67341007	Longitudinal deficiency of limb	Limb reduction defect (excluding congenital amputation and dwarfing syndromes)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
80281008	Cleft lip	Cleft Lip with or without Cleft Palate		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
87979003	Cleft palate	Cleft Palate alone		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
70156005	Anomaly of chromosome pair 21	Down Syndrome		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
409709004	Chromosomal disorder	Suspected chromosomal disorder		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
416010008	Hypospadias	Hypospadias		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
260413007	None	None of the specified items in this value set (including concept codes: 89369001, 67531005, 12770006,  17190001, 18735004, 72951007, 67341007, 67341007, 80281008, 87979003, 70156005, 409709004, 416010008) for Newborn Congenital Anomalies		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
