Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Newborn Given Surfactant Replacement (NCHS)	PHVS_NewbornGivenSurfactantReplacement_NCHS	1.3.6.1.4.1.19376.1.7.3.1.1.13.8.11	1	To Reflect that the newborn received surfactant replacement therapy	Published	11/03/2014	Initial Import for : E8F57B6A-9963-E411-A174-0017A477041A

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
434701000124101	Surfactant replacement therapy	Newborn given surfactant replacement therapy		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
20170008	Lung surfactant 	Lung surfactant 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
346667009	Respiratory surfactant 	Respiratory surfactant 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
40905005	Beractant 	Beractant 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
409376009	Calfactant	Calfactant		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
108638004	Colfosceril palmitate 	Colfosceril palmitate 		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
418250008	Lucinactant	Lucinactant		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
429321008	Lusupultide	Lusupultide		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
116075008	Poractant alfa	Poractant alfa		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
320914007	Pumactant	Pumactant		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
430528003	Respiratory form tyloxapol	Respiratory form tyloxapol		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
