Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
JCIH-EHDI Newborn Hearing Loss Diagnosis	PHVS_NewbornHearingLossDiagnosis_JCIH_EHDI	1.3.6.1.4.1.19376.1.7.3.1.1.15.2.14	2	To Reflect EHDI hearing loss diagnosis coded with SNOMED-CT on the problem list	Published	11/15/2010	Added permanent qualifier value concept

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
443805006	Auditory neuropathy spectrum disorder (disorder)	Auditory neuropathy spectrum disorder (disorder)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
95820000	Bilateral hearing loss (disorder)	Bilateral hearing loss (disorder)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
44057004	Conductive hearing loss (disorder)	Conductive hearing loss (disorder)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
18647004	Mild (severity modifier) (qualifier value)	Mild (severity modifier) (qualifier value)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
255605001	Minimal (qualifier value)	Minimal (qualifier value)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
77507001	Mixed conductive AND sensorineural hearing loss (disorder)	Mixed conductive AND sensorineural hearing loss (disorder)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
6736007	Moderate (severity modifier) (qualifier value)	Moderate (severity modifier) (qualifier value)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
371924009	Moderate to severe (qualifier value)	Moderate to severe (qualifier value)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
17621005	Normal (qualifier value)	Normal (qualifier value)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
6934004	Permanent (qualifier value)	Permanent		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
255611003	Profound (qualifier value)	Profound (qualifier value)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
60700002	Sensorineural hearing loss (disorder)	Sensorineural hearing loss (disorder)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
24484000	Severe (severity modifier) (qualifier value)	Severe (severity modifier) (qualifier value)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
123123005	Transient (qualifier value)	Transient (qualifier value)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
95819006	Unilateral hearing loss (situation)	Unilateral hearing loss (situation)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
419161000	Unilateral left (qualifier value)	Unilateral left (qualifier value)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
419465000	Unilateral right (qualifier value)	Unilateral right (qualifier value)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
