Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Non-paint lead source - hobby related	PHVS_NonPaintLeadSourceHobby_PB	2.16.840.1.114222.4.11.1019	1	List of hobbies that could result in exposure to lead	Published	10/22/2008	Initial Load VADS 3.0

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
PHC50	Firing Range/Target Shooter/Re-loader	Firing Range/Target Shooter/Re-loader		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
45-3010	Fishers and Related Fishing Workers	Fishing		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
PHC57	Furniture Refinishing	Furniture Refinishing		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
PHC53	Hunting	Hunting		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
C0870369	Jewelry/Crafts	Jewelry/Crafts		2.16.840.1.113883.6.86	UMLS	PH_UMLS	20200301	UML
PHC47	Making/Casting Bullets	Making/Casting Bullets		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
PHC48	Making/Casting Fishing Sinkers	Making/Casting Fishing Sinkers		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
C0030208	Painting	Painting		2.16.840.1.113883.6.86	UMLS	PH_UMLS	20200301	UML
159934001	Pottery/ceramics finisher (occupation)	Pottery/ceramics finisher		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
PHC56	Radiator Repair	Radiator Repair		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
PHC59	Remodel/Restore/Renovate	Remodel/Restore/Renovate		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
PHC49	Stained Glass Making	Stained Glass Making		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
