Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Notifiable Condition (Hepatitis)	PHVS_NotifiableConditions_Hepatitis	2.16.840.1.114222.4.11.3032	1	List of hepatitis specific notifiable events. This list includes events that are notifiable at the state and national level.	Published	10/22/2008	Initial Load VADS 3.0

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
10110	Hepatitis A, acute	Hepatitis A, acute		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20200101	NND
10105	Hepatitis B virus infection, chronic	Hepatitis B virus infection, chronic		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20200101	NND
10100	Hepatitis B, acute	Hepatitis B, acute		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20200101	NND
10104	Hepatitis B, virus infection perinatal	Hepatitis B, virus infection perinatal		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20200101	NND
10106	Hepatitis C virus infection, past or present	Hepatitis C virus infection, past or present		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20200101	NND
10101	Hepatitis C, acute	Hepatitis C, acute		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20200101	NND
10102	Hepatitis Delta co- or super-infection, acute (Hepatitis D)	Hepatitis Delta co- or super-infection, acute (Hepatitis D)		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20200101	NND
10103	Hepatitis E, acute	Hepatitis E, acute		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20200101	NND
10480	Hepatitis, non A, non B, acute	Hepatitis, non A, non B, acute		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20200101	NND
10120	Hepatitis, viral unspecified	Hepatitis, viral unspecified		2.16.840.1.114222.4.5.277	Notifiable Event (Disease/Condition) Code List	PH_NotifiableEvent_Disease_Condition_CDC_NNDSS	20200101	NND
