Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Observation Identifier V2 (IIS)	PHVS_ObservationIdentifier_V2_IIS	2.16.840.1.114222.4.11.7830	1	The observation identifiers are used for patient level observations, observations about immunization events and observations about evaluated events and forecasts	Published	06/16/2018	Observation identifiers used  for the patient, the patient's madien name and the provider in the Immunization Implementation Guide V2.8.2

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
59782-3	# doses primary immunization series	Number of doses in primary immunization series		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
48767-8	Annotation comment Imp	Annotation comment		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
75323-6	Condition	Condition		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
88878-4	Date of condition abatement	Date of condition abatement		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
85585-8	Date of condition onset	Date of condition onset		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
88877-6	Date of vaccination indication effective	Date of vaccination indication effective		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
88879-2	Date of vaccination indication expiration	Date of vaccination indication expiration		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
30946-8	Date vaccine contra/precaution effective	Date vaccination contraindication/precaution effective		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
30980-7	Date vaccine due	Date vaccine due		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
29769-7	Date vaccine info presented	Date Vaccine Information Statement Presented		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
30944-3	Date vaccine temp contra/precaution exp	Date of vaccination temporary contraindication/precaution expiration		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
59778-1	Date when overdue for immunization	Date when overdue for immunization		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
59784-9	Disease with presumed immunity	Disease with presumed immunity		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
75505-8	Diseases w sero evidence of immunity	Disease with serological evidence of immunity		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
69764-9	Document type	Document type		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
30973-2	Dose #	Dose number in series		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
59781-5	Dose validity	Dose validity		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
30981-5	Earliest date to give	Earliest date to give		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
30963-3	Funds vaccine purchased with VAERS	Vaccine funding source		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
31044-1	Immunization reaction	Immunization reaction		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
59779-9	Immunization schedule used	Immunization schedule used		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
59780-7	Immunization series	Immunization series name		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
59785-6	Indication for Immunization	Indication for immunization		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
59777-3	Latest date to give immunization	Latest date next dose may be given		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
30982-3	Reason applied to project this vaccine	Reason applied by forecast logic to project this vaccine		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
59783-1	Status in immunization series	Status in immunization series		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
30956-7	Type Vaccine	Type [Identifier] Vaccine (Vaccine group or family)		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
30945-0	Vaccination contraindication/precaution	Vaccination contraindication/precaution		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
38890-0	Vaccine Component Type	Vaccine component type [Identifier]		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
64994-7	Vaccine fund pgm elig cat	Vaccine funding program eligibility category		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
30979-9	Vaccines due next	Vaccines due next		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
