Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Observation Interpretation (HL7)	PHVS_ObservationInterpretation_HL7_V3	2.16.840.1.113883.1.11.78	1	Observation interpretation concepts that are based upon HL7 V3 vocabulary.	Published	07/07/2009	CDA Public Health Case Report New Value Set

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
A	Abnormal	Abnormal		2.16.840.1.113883.5.83	ObservationInterpretation	PH_ObservationInterpretation_HL7_V3	20151024	HITSP-CS-83
HX	above high threshold	above high threshold		2.16.840.1.113883.5.83	ObservationInterpretation	PH_ObservationInterpretation_HL7_V3	20151024	HITSP-CS-83
LX	below low threshold	below low threshold		2.16.840.1.113883.5.83	ObservationInterpretation	PH_ObservationInterpretation_HL7_V3	20151024	HITSP-CS-83
B	better	better		2.16.840.1.113883.5.83	ObservationInterpretation	PH_ObservationInterpretation_HL7_V3	20151024	HITSP-CS-83
Carrier	Carrier	Carrier		2.16.840.1.113883.5.83	ObservationInterpretation	PH_ObservationInterpretation_HL7_V3	20151024	HITSP-CS-83
D	decreased	decreased		2.16.840.1.113883.5.83	ObservationInterpretation	PH_ObservationInterpretation_HL7_V3	20151024	HITSP-CS-83
U	increased	increased		2.16.840.1.113883.5.83	ObservationInterpretation	PH_ObservationInterpretation_HL7_V3	20151024	HITSP-CS-83
IND	Indeterminate	Indeterminate		2.16.840.1.113883.5.83	ObservationInterpretation	PH_ObservationInterpretation_HL7_V3	20151024	HITSP-CS-83
I	intermediate	intermediate		2.16.840.1.113883.5.83	ObservationInterpretation	PH_ObservationInterpretation_HL7_V3	20151024	HITSP-CS-83
MS	moderately susceptible	moderately susceptible		2.16.840.1.113883.5.83	ObservationInterpretation	PH_ObservationInterpretation_HL7_V3	20151024	HITSP-CS-83
NEG	Negative	Negative		2.16.840.1.113883.5.83	ObservationInterpretation	PH_ObservationInterpretation_HL7_V3	20151024	HITSP-CS-83
N	Normal	Normal		2.16.840.1.113883.5.83	ObservationInterpretation	PH_ObservationInterpretation_HL7_V3	20151024	HITSP-CS-83
POS	Positive	Positive		2.16.840.1.113883.5.83	ObservationInterpretation	PH_ObservationInterpretation_HL7_V3	20151024	HITSP-CS-83
R	resistent	resistent		2.16.840.1.113883.5.83	ObservationInterpretation	PH_ObservationInterpretation_HL7_V3	20151024	HITSP-CS-83
S	susceptible	susceptible		2.16.840.1.113883.5.83	ObservationInterpretation	PH_ObservationInterpretation_HL7_V3	20151024	HITSP-CS-83
VS	Very susceptible	Very susceptible		2.16.840.1.113883.5.83	ObservationInterpretation	PH_ObservationInterpretation_HL7_V3	20151024	HITSP-CS-83
W	worse	worse		2.16.840.1.113883.5.83	ObservationInterpretation	PH_ObservationInterpretation_HL7_V3	20151024	HITSP-CS-83
