Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Occupation CDC Census 2002	PHVS_Occupation_CDC_Census2002	2.16.840.1.114222.4.11.7184	1	2002 Occupation coding system used by CDC (NIOSH & NCHS) for coding occupation text.  Occupation describes a set of activities or tasks that individuals are paid to perform or, if unpaid, define a person’s contribution to a household/family business/community.  This occupation code system includes  2002 U.S. Census Bureau occupation codes with modifications made by CDC for unpaid workers and military occupations.  The 2002 Census occupation categories  are based on the 2000 BLS Standard Occupational Classification (SOC) system.  The PH_Industry_CDC_Census2002  code system should be used in conjunction with this occupation code system when coding both industry and occupation.  For more information and instructions on using this coding system, see the instruction manual for Census I&O coding at:  http://www.cdc.gov/niosh/topics/coding/	Published	08/23/2013	Initial Import for : 29EEABEB-140C-E311-81F2-0017A477041A

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
0800	ACCOUNTANTS AND AUDITORS	ACCOUNTANTS AND AUDITORS [0800]		2.16.840.1.114222.4.5.312	Occupation CDC Census 2002	PH_Occupation_CDC_Census2002	2002	VADS003
2700	ACTORS	ACTORS [2700]		2.16.840.1.114222.4.5.312	Occupation CDC Census 2002	PH_Occupation_CDC_Census2002	2002	VADS003
1200	ACTUARIES	ACTUARIES [1200]		2.16.840.1.114222.4.5.312	Occupation CDC Census 2002	PH_Occupation_CDC_Census2002	2002	VADS003
0100	ADMINISTRATIVE SERVICES MANAGERS	ADMINISTRATIVE SERVICES MANAGERS [0100]		2.16.840.1.114222.4.5.312	Occupation CDC Census 2002	PH_Occupation_CDC_Census2002	2002	VADS003
0040	ADVERTISING AND PROMOTIONS MANAGERS	ADVERTISING AND PROMOTIONS MANAGERS [0040]		2.16.840.1.114222.4.5.312	Occupation CDC Census 2002	PH_Occupation_CDC_Census2002	2002	VADS003
4800	ADVERTISING SALES AGENTS	ADVERTISING SALES AGENTS [4800]		2.16.840.1.114222.4.5.312	Occupation CDC Census 2002	PH_Occupation_CDC_Census2002	2002	VADS003
1320	AEROSPACE ENGINEERS	AEROSPACE ENGINEERS [1320]		2.16.840.1.114222.4.5.312	Occupation CDC Census 2002	PH_Occupation_CDC_Census2002	2002	VADS003
0500	AGENTS AND BUSINESS MANAGERS OF ARTISTS, PERFORMERS, AND ATHLETES	AGENTS AND BUSINESS MANAGERS OF ARTISTS, PERFORMERS, AND ATHLETES [0500]		2.16.840.1.114222.4.5.312	Occupation CDC Census 2002	PH_Occupation_CDC_Census2002	2002	VADS003
1600	AGRICULTURAL AND FOOD SCIENTISTS	AGRICULTURAL AND FOOD SCIENTISTS [1600]		2.16.840.1.114222.4.5.312	Occupation CDC Census 2002	PH_Occupation_CDC_Census2002	2002	VADS003
6010	AGRICULTURAL INSPECTORS	AGRICULTURAL INSPECTORS [6010]		2.16.840.1.114222.4.5.312	Occupation CDC Census 2002	PH_Occupation_CDC_Census2002	2002	VADS003
1900	AGRICULTURE AND FOODS SCIENCE TECHNICIANS	AGRICULTURE AND FOODS SCIENCE TECHNICIANS [1900]		2.16.840.1.114222.4.5.312	Occupation CDC Census 2002	PH_Occupation_CDC_Census2002	2002	VADS003
1330	AGRICULTURE ENGINEERS	AGRICULTURE ENGINEERS [1330]		2.16.840.1.114222.4.5.312	Occupation CDC Census 2002	PH_Occupation_CDC_Census2002	2002	VADS003
9040	AIR TRAFFIC CONTROLLERS AND AIRFIELD OPERATIONS SPECIALISTS	AIR TRAFFIC CONTROLLERS AND AIRFIELD OPERATIONS SPECIALISTS [9040]		2.16.840.1.114222.4.5.312	Occupation CDC Census 2002	PH_Occupation_CDC_Census2002	2002	VADS003
7140	AIRCRAFT MECHANICS AND SERVICE TECHNICIANS	AIRCRAFT MECHANICS AND SERVICE TECHNICIANS [7140]		2.16.840.1.114222.4.5.312	Occupation CDC Census 2002	PH_Occupation_CDC_Census2002	2002	VADS003
9030	AIRCRAFT PILOTS AND FLIGHT ENGINEERS	AIRCRAFT PILOTS AND FLIGHT ENGINEERS [9030]		2.16.840.1.114222.4.5.312	Occupation CDC Census 2002	PH_Occupation_CDC_Census2002	2002	VADS003
7710	AIRCRAFT STRUCTURE, SURFACES, RIGGING, AND SYSTEMS ASSEMBLERS	AIRCRAFT STRUCTURE, SURFACES, RIGGING, AND SYSTEMS ASSEMBLERS [7710]		2.16.840.1.114222.4.5.312	Occupation CDC Census 2002	PH_Occupation_CDC_Census2002	2002	VADS003
9110	AMBULANCE DRIVERS AND ATTENDANTS, EXCEPT EMERGENCY MEDICAL TECHNICIANS	AMBULANCE DRIVERS AND ATTENDANTS, EXCEPT EMERGENCY MEDICAL TECHNICIANS [9110]		2.16.840.1.114222.4.5.312	Occupation CDC Census 2002	PH_Occupation_CDC_Census2002	2002	VADS003
6020	ANIMAL BREEDERS	ANIMAL BREEDERS [6020]		2.16.840.1.114222.4.5.312	Occupation CDC Census 2002	PH_Occupation_CDC_Census2002	2002	VADS003
3900	ANIMAL CONTROL WORKERS	ANIMAL CONTROL WORKERS [3900]		2.16.840.1.114222.4.5.312	Occupation CDC Census 2002	PH_Occupation_CDC_Census2002	2002	VADS003
4340	ANIMAL TRAINERS	ANIMAL TRAINERS [4340]		2.16.840.1.114222.4.5.312	Occupation CDC Census 2002	PH_Occupation_CDC_Census2002	2002	VADS003
2800	ANNOUNCERS	ANNOUNCERS [2800]		2.16.840.1.114222.4.5.312	Occupation CDC Census 2002	PH_Occupation_CDC_Census2002	2002	VADS003
0810	APPRAISERS AND ASSESSORS OF REAL ESTATE	APPRAISERS AND ASSESSORS OF REAL ESTATE [0810]		2.16.840.1.114222.4.5.312	Occupation CDC Census 2002	PH_Occupation_CDC_Census2002	2002	VADS003
1300	ARCHITECTS, EXCEPT NAVAL	ARCHITECTS, EXCEPT NAVAL [1300]		2.16.840.1.114222.4.5.312	Occupation CDC Census 2002	PH_Occupation_CDC_Census2002	2002	VADS003
2400	ARCHIVISTS, CURATORS, AND MUSEUM TECHNICIANS	ARCHIVISTS, CURATORS, AND MUSEUM TECHNICIANS [2400]		2.16.840.1.114222.4.5.312	Occupation CDC Census 2002	PH_Occupation_CDC_Census2002	2002	VADS003
2600	ARTISTS AND RELATED WORKERS	ARTISTS AND RELATED WORKERS [2600]		2.16.840.1.114222.4.5.312	Occupation CDC Census 2002	PH_Occupation_CDC_Census2002	2002	VADS003
1700	ASTRONOMERS AND PHYSICISTS	ASTRONOMERS AND PHYSICISTS [1700]		2.16.840.1.114222.4.5.312	Occupation CDC Census 2002	PH_Occupation_CDC_Census2002	2002	VADS003
2720	ATHLETES, COACHES, UMPIRES, AND RELATED WORKERS	ATHLETES, COACHES, UMPIRES, AND RELATED WORKERS [2720]		2.16.840.1.114222.4.5.312	Occupation CDC Census 2002	PH_Occupation_CDC_Census2002	2002	VADS003
1710	ATMOSPHERIC AND SPACE SCIENTISTS	ATMOSPHERIC AND SPACE SCIENTISTS [1710]		2.16.840.1.114222.4.5.312	Occupation CDC Census 2002	PH_Occupation_CDC_Census2002	2002	VADS003
3140	AUDIOLOGISTS	AUDIOLOGISTS [3140]		2.16.840.1.114222.4.5.312	Occupation CDC Census 2002	PH_Occupation_CDC_Census2002	2002	VADS003
7150	AUTOMOTIVE BODY AND RELATED REPAIRERS	AUTOMOTIVE BODY AND RELATED REPAIRERS [7150]		2.16.840.1.114222.4.5.312	Occupation CDC Census 2002	PH_Occupation_CDC_Census2002	2002	VADS003
7160	AUTOMOTIVE GLASS INSTALLERS AND REPAIRERS	AUTOMOTIVE GLASS INSTALLERS AND REPAIRERS [7160]		2.16.840.1.114222.4.5.312	Occupation CDC Census 2002	PH_Occupation_CDC_Census2002	2002	VADS003
7200	AUTOMOTIVE SERVICE TECHNICIANS AND MECHANICS	AUTOMOTIVE SERVICE TECHNICIANS AND MECHANICS [7200]		2.16.840.1.114222.4.5.312	Occupation CDC Census 2002	PH_Occupation_CDC_Census2002	2002	VADS003
7030	AVIONICS TECHNICIANS	AVIONICS TECHNICIANS [7030]		2.16.840.1.114222.4.5.312	Occupation CDC Census 2002	PH_Occupation_CDC_Census2002	2002	VADS003
4530	BAGGAGE PORTERS, BELLHOPS, AND CONCIERGES	BAGGAGE PORTERS, BELLHOPS, AND CONCIERGES [4530]		2.16.840.1.114222.4.5.312	Occupation CDC Census 2002	PH_Occupation_CDC_Census2002	2002	VADS003
3800	BAILIFFS, CORRECTIONAL OFFICERS, AND JAILERS	BAILIFFS, CORRECTIONAL OFFICERS, AND JAILERS [3800]		2.16.840.1.114222.4.5.312	Occupation CDC Census 2002	PH_Occupation_CDC_Census2002	2002	VADS003
7800	BAKERS	BAKERS [7800]		2.16.840.1.114222.4.5.312	Occupation CDC Census 2002	PH_Occupation_CDC_Census2002	2002	VADS003
4500	BARBERS	BARBERS [4500]		2.16.840.1.114222.4.5.312	Occupation CDC Census 2002	PH_Occupation_CDC_Census2002	2002	VADS003
4040	BARTENDERS	BARTENDERS [4040]		2.16.840.1.114222.4.5.312	Occupation CDC Census 2002	PH_Occupation_CDC_Census2002	2002	VADS003
5100	BILL AND ACCOUNT COLLECTORS	BILL AND ACCOUNT COLLECTORS [5100]		2.16.840.1.114222.4.5.312	Occupation CDC Census 2002	PH_Occupation_CDC_Census2002	2002	VADS003
