Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Occupation CDC Census 2010	PHVS_Occupation_CDC_Census2010	2.16.840.1.114222.4.11.7186	1	2010 Occupation coding system used by CDC (NIOSH & NCHS) for coding occupation text.  Occupation describes a set of activities or tasks that individuals are paid to perform or, if unpaid, define a person’s contribution to a household/family business/community.  This code system includes  2010 U.S. Census Bureau occupation codes with modifications made by CDC for unpaid workers and military occupations.  The 2010 Census occupation categories  are based on the 2010 BLS Standard Occupational Classification (SOC) system.  The PH_Industry_CDC_Census2010  code system should be used in conjunction with this occupation code system when coding both industry and occupation.  For more information and instructions on using this coding system, see the instruction manual for CDC-Census I&O coding at:  http://www.cdc.gov/niosh/topics/coding/	Published	08/23/2013	v1

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
0800	Accountants and auditors	Accountants and auditors [0800]		2.16.840.1.114222.4.5.314	Occupation CDC Census 2010	PH_Occupation_CDC_Census2010	2010	CDCOCCUPATION2010
2700	Actors	Actors [2700]		2.16.840.1.114222.4.5.314	Occupation CDC Census 2010	PH_Occupation_CDC_Census2010	2010	CDCOCCUPATION2010
1200	Actuaries	Actuaries [1200]		2.16.840.1.114222.4.5.314	Occupation CDC Census 2010	PH_Occupation_CDC_Census2010	2010	CDCOCCUPATION2010
8850	Adhesive bonding machine operators and tenders	Adhesive bonding machine operators and tenders [8850]		2.16.840.1.114222.4.5.314	Occupation CDC Census 2010	PH_Occupation_CDC_Census2010	2010	CDCOCCUPATION2010
0100	Administrative services managers	Administrative services managers [0100]		2.16.840.1.114222.4.5.314	Occupation CDC Census 2010	PH_Occupation_CDC_Census2010	2010	CDCOCCUPATION2010
0040	Advertising and promotions managers	Advertising and promotions managers [0040]		2.16.840.1.114222.4.5.314	Occupation CDC Census 2010	PH_Occupation_CDC_Census2010	2010	CDCOCCUPATION2010
4800	Advertising sales agents	Advertising sales agents [4800]		2.16.840.1.114222.4.5.314	Occupation CDC Census 2010	PH_Occupation_CDC_Census2010	2010	CDCOCCUPATION2010
1320	Aerospace engineers	Aerospace engineers [1320]		2.16.840.1.114222.4.5.314	Occupation CDC Census 2010	PH_Occupation_CDC_Census2010	2010	CDCOCCUPATION2010
0500	Agents and business managers of artists, performers, and athletes	Agents and business managers of artists, performers, and athletes [0500]		2.16.840.1.114222.4.5.314	Occupation CDC Census 2010	PH_Occupation_CDC_Census2010	2010	CDCOCCUPATION2010
1900	Agricultural and food science technicians	Agricultural and food science technicians [1900]		2.16.840.1.114222.4.5.314	Occupation CDC Census 2010	PH_Occupation_CDC_Census2010	2010	CDCOCCUPATION2010
1600	Agricultural and food scientists	Agricultural and food scientists [1600]		2.16.840.1.114222.4.5.314	Occupation CDC Census 2010	PH_Occupation_CDC_Census2010	2010	CDCOCCUPATION2010
1330	Agricultural engineers	Agricultural engineers [1330]		2.16.840.1.114222.4.5.314	Occupation CDC Census 2010	PH_Occupation_CDC_Census2010	2010	CDCOCCUPATION2010
6010	Agricultural inspectors	Agricultural inspectors [6010]		2.16.840.1.114222.4.5.314	Occupation CDC Census 2010	PH_Occupation_CDC_Census2010	2010	CDCOCCUPATION2010
9040	Air traffic controllers and airfield operations specialists	Air traffic controllers and airfield operations specialists [9040]		2.16.840.1.114222.4.5.314	Occupation CDC Census 2010	PH_Occupation_CDC_Census2010	2010	CDCOCCUPATION2010
7140	Aircraft mechanics and service technicians	Aircraft mechanics and service technicians [7140]		2.16.840.1.114222.4.5.314	Occupation CDC Census 2010	PH_Occupation_CDC_Census2010	2010	CDCOCCUPATION2010
9030	Aircraft pilots and flight engineers	Aircraft pilots and flight engineers [9030]		2.16.840.1.114222.4.5.314	Occupation CDC Census 2010	PH_Occupation_CDC_Census2010	2010	CDCOCCUPATION2010
7710	Aircraft structure, surfaces, rigging, and systems assemblers	Aircraft structure, surfaces, rigging, and systems assemblers [7710]		2.16.840.1.114222.4.5.314	Occupation CDC Census 2010	PH_Occupation_CDC_Census2010	2010	CDCOCCUPATION2010
9110	Ambulance drivers and attendants, except emergency medical technicians	Ambulance drivers and attendants, except emergency medical technicians [9110]		2.16.840.1.114222.4.5.314	Occupation CDC Census 2010	PH_Occupation_CDC_Census2010	2010	CDCOCCUPATION2010
6020	Animal breeders	Animal breeders [6020]		2.16.840.1.114222.4.5.314	Occupation CDC Census 2010	PH_Occupation_CDC_Census2010	2010	CDCOCCUPATION2010
3900	Animal control workers	Animal control workers [3900]		2.16.840.1.114222.4.5.314	Occupation CDC Census 2010	PH_Occupation_CDC_Census2010	2010	CDCOCCUPATION2010
4340	Animal trainers	Animal trainers [4340]		2.16.840.1.114222.4.5.314	Occupation CDC Census 2010	PH_Occupation_CDC_Census2010	2010	CDCOCCUPATION2010
2800	Announcers	Announcers [2800]		2.16.840.1.114222.4.5.314	Occupation CDC Census 2010	PH_Occupation_CDC_Census2010	2010	CDCOCCUPATION2010
0810	Appraisers and assessors of real estate	Appraisers and assessors of real estate [0810]		2.16.840.1.114222.4.5.314	Occupation CDC Census 2010	PH_Occupation_CDC_Census2010	2010	CDCOCCUPATION2010
1300	Architects, except naval	Architects, except naval [1300]		2.16.840.1.114222.4.5.314	Occupation CDC Census 2010	PH_Occupation_CDC_Census2010	2010	CDCOCCUPATION2010
0300	Architectural and engineering managers	Architectural and engineering managers [0300]		2.16.840.1.114222.4.5.314	Occupation CDC Census 2010	PH_Occupation_CDC_Census2010	2010	CDCOCCUPATION2010
2400	Archivists, curators, and museum technicians	Archivists, curators, and museum technicians [2400]		2.16.840.1.114222.4.5.314	Occupation CDC Census 2010	PH_Occupation_CDC_Census2010	2010	CDCOCCUPATION2010
2600	Artists and related workers	Artists and related workers [2600]		2.16.840.1.114222.4.5.314	Occupation CDC Census 2010	PH_Occupation_CDC_Census2010	2010	CDCOCCUPATION2010
1700	Astronomers and physicists	Astronomers and physicists [1700]		2.16.840.1.114222.4.5.314	Occupation CDC Census 2010	PH_Occupation_CDC_Census2010	2010	CDCOCCUPATION2010
2720	Athletes, coaches, umpires, and related workers	Athletes, coaches, umpires, and related workers [2720]		2.16.840.1.114222.4.5.314	Occupation CDC Census 2010	PH_Occupation_CDC_Census2010	2010	CDCOCCUPATION2010
1710	Atmospheric and space scientists	Atmospheric and space scientists [1710]		2.16.840.1.114222.4.5.314	Occupation CDC Census 2010	PH_Occupation_CDC_Census2010	2010	CDCOCCUPATION2010
3140	Audiologists	Audiologists [3140]		2.16.840.1.114222.4.5.314	Occupation CDC Census 2010	PH_Occupation_CDC_Census2010	2010	CDCOCCUPATION2010
9360	Automotive and watercraft service attendants	Automotive and watercraft service attendants [9360]		2.16.840.1.114222.4.5.314	Occupation CDC Census 2010	PH_Occupation_CDC_Census2010	2010	CDCOCCUPATION2010
