Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Occupation	PHVS_Occupation_CDC	2.16.840.1.114222.4.11.887	1	Occupations or job codes	Published	10/22/2008	Initial Load VADS 3.0

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
13-2010	Accountants and Auditors	Accountants and Auditors [13-2010]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
13-2011	Accountants and Auditors	Accountants and Auditors [13-2011]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
27-2011	Actors	Actors [27-2011]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
27-2010	Actors, Producers, and Directors	Actors, Producers, and Directors [27-2010]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
15-2010	Actuaries	Actuaries [15-2010]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
15-2011	Actuaries	Actuaries [15-2011]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
23-1021	Administrative Law Judges, Adjudicators, and Hearing Officers	Administrative Law Judges, Adjudicators, and Hearing Officers [23-1021]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
11-3010	Administrative Services Managers	Administrative Services Managers [11-3010]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
11-3011	Administrative Services Managers	Administrative Services Managers [11-3011]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
25-3010	Adult Literacy, Remedial Education, and GED Teachers and Instructors	Adult Literacy, Remedial Education, and GED Teachers and Instructors [25-3010]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
25-3011	Adult Literacy, Remedial Education, and GED Teachers and Instructors	Adult Literacy, Remedial Education, and GED Teachers and Instructors [25-3011]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
11-2010	Advertising and Promotions Managers	Advertising and Promotions Managers [11-2010]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
11-2011	Advertising and Promotions Managers	Advertising and Promotions Managers [11-2011]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
41-3010	Advertising Sales Agents	Advertising Sales Agents [41-3010]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
41-3011	Advertising Sales Agents	Advertising Sales Agents [41-3011]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
11-2000	Advertising, Marketing, Promotions, Public Relations, and Sales Managers	Advertising, Marketing, Promotions, Public Relations, and Sales Managers [11-2000]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
17-3021	Aerospace Engineering and Operations Technicians	Aerospace Engineering and Operations Technicians [17-3021]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
17-2010	Aerospace Engineers	Aerospace Engineers [17-2010]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
17-2011	Aerospace Engineers	Aerospace Engineers [17-2011]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
13-1010	Agents and Business Managers of Artists, Performers, and Athletes	Agents and Business Managers of Artists, Performers, and Athletes [13-1010]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
13-1011	Agents and Business Managers of Artists, Performers, and Athletes	Agents and Business Managers of Artists, Performers, and Athletes [13-1011]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
19-4010	Agricultural and Food Science Technicians	Agricultural and Food Science Technicians [19-4010]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
19-4011	Agricultural and Food Science Technicians	Agricultural and Food Science Technicians [19-4011]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
19-1010	Agricultural and Food Scientists	Agricultural and Food Scientists [19-1010]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
17-2020	Agricultural Engineers	Agricultural Engineers [17-2020]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
17-2021	Agricultural Engineers	Agricultural Engineers [17-2021]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
45-2091	Agricultural Equipment Operators	Agricultural Equipment Operators [45-2091]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
45-2010	Agricultural Inspectors	Agricultural Inspectors [45-2010]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
45-2011	Agricultural Inspectors	Agricultural Inspectors [45-2011]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
11-9010	Agricultural Managers	Agricultural Managers [11-9010]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
25-1041	Agricultural Sciences Teachers, Postsecondary	Agricultural Sciences Teachers, Postsecondary [25-1041]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
45-2000	Agricultural Workers	Agricultural Workers [45-2000]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
45-2099	Agricultural Workers, All Other	Agricultural Workers, All Other [45-2099]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
55-3011	Air Crew Members	Air Crew Members [55-3011]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
55-1011	Air Crew Officers	Air Crew Officers [55-1011]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
53-2021	Air Traffic Controllers	Air Traffic Controllers [53-2021]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
53-2020	Air Traffic Controllers and Airfield Operations Specialists	Air Traffic Controllers and Airfield Operations Specialists [53-2020]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
53-2000	Air Transportation Workers	Air Transportation Workers [53-2000]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
53-1010	Aircraft Cargo Handling Supervisors	Aircraft Cargo Handling Supervisors [53-1010]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
53-1011	Aircraft Cargo Handling Supervisors	Aircraft Cargo Handling Supervisors [53-1011]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
55-1012	Aircraft Launch and Recovery Officers	Aircraft Launch and Recovery Officers [55-1012]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
55-3012	Aircraft Launch and Recovery Specialists	Aircraft Launch and Recovery Specialists [55-3012]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
49-3010	Aircraft Mechanics and Service Technicians	Aircraft Mechanics and Service Technicians [49-3010]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
49-3011	Aircraft Mechanics and Service Technicians	Aircraft Mechanics and Service Technicians [49-3011]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
53-2010	Aircraft Pilots and Flight Engineers	Aircraft Pilots and Flight Engineers [53-2010]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
51-2010	Aircraft Structure, Surfaces, Rigging, and Systems Assemblers	Aircraft Structure, Surfaces, Rigging, and Systems Assemblers [51-2010]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
51-2011	Aircraft Structure, Surfaces, Rigging, and Systems Assemblers	Aircraft Structure, Surfaces, Rigging, and Systems Assemblers [51-2011]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
53-2022	Airfield Operations Specialists	Airfield Operations Specialists [53-2022]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
53-2011	Airline Pilots, Copilots, and Flight Engineers	Airline Pilots, Copilots, and Flight Engineers [53-2011]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
53-3010	Ambulance Drivers and Attendants, Except Emergency Medical Technicians	Ambulance Drivers and Attendants, Except Emergency Medical Technicians [53-3010]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
53-3011	Ambulance Drivers and Attendants, Except Emergency Medical Technicians	Ambulance Drivers and Attendants, Except Emergency Medical Technicians [53-3011]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
39-3091	Amusement and Recreation Attendants	Amusement and Recreation Attendants [39-3091]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
29-1061	Anesthesiologists	Anesthesiologists [29-1061]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
45-2020	Animal Breeders	Animal Breeders [45-2020]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
45-2021	Animal Breeders	Animal Breeders [45-2021]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
39-2000	Animal Care and Service Workers	Animal Care and Service Workers [39-2000]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
33-9010	Animal Control Workers	Animal Control Workers [33-9010]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
33-9011	Animal Control Workers	Animal Control Workers [33-9011]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
19-1011	Animal Scientists	Animal Scientists [19-1011]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
39-2010	Animal Trainers	Animal Trainers [39-2010]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
39-2011	Animal Trainers	Animal Trainers [39-2011]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
27-3010	Announcers	Announcers [27-3010]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
19-3091	Anthropologists and Archeologists	Anthropologists and Archeologists [19-3091]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
25-1061	Anthropology and Archeology Teachers, Postsecondary	Anthropology and Archeology Teachers, Postsecondary [25-1061]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
13-2020	Appraisers and Assessors of Real Estate	Appraisers and Assessors of Real Estate [13-2020]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
13-2021	Appraisers and Assessors of Real Estate	Appraisers and Assessors of Real Estate [13-2021]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
23-1022	Arbitrators, Mediators, and Conciliators	Arbitrators, Mediators, and Conciliators [23-1022]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
17-1011	Architects, Except Landscape and Naval	Architects, Except Landscape and Naval [17-1011]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
17-1010	Architects, Except Naval	Architects, Except Naval [17-1010]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
17-1000	Architects, Surveyors, and Cartographers	Architects, Surveyors, and Cartographers [17-1000]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
17-3011	Architectural and Civil Drafters	Architectural and Civil Drafters [17-3011]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
17-0000	Architecture and Engineering Occupations	Architecture and Engineering Occupations [17-0000]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
25-1031	Architecture Teachers, Postsecondary	Architecture Teachers, Postsecondary [25-1031]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
25-4011	Archivists	Archivists [25-4011]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
25-4010	Archivists, Curators, and Museum Technicians	Archivists, Curators, and Museum Technicians [25-4010]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
25-1062	Area, Ethnic, and Cultural Studies Teachers, Postsecondary	Area, Ethnic, and Cultural Studies Teachers, Postsecondary [25-1062]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
55-3013	Armored Assault Vehicle Crew Members	Armored Assault Vehicle Crew Members [55-3013]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
55-1013	Armored Assault Vehicle Officers	Armored Assault Vehicle Officers [55-1013]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
27-1000	Art and Design Workers	Art and Design Workers [27-1000]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
27-1011	Art Directors	Art Directors [27-1011]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
25-1121	Art, Drama, and Music Teachers, Postsecondary	Art, Drama, and Music Teachers, Postsecondary [25-1121]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
55-3014	Artillery and Missile Crew Members	Artillery and Missile Crew Members [55-3014]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
55-1014	Artillery and Missile Officers	Artillery and Missile Officers [55-1014]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
27-1010	Artists and Related Workers	Artists and Related Workers [27-1010]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
27-1019	Artists and Related Workers, All Other	Artists and Related Workers, All Other [27-1019]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
25-1120	Arts, Communications, and Humanities Teachers, Postsecondary	Arts, Communications, and Humanities Teachers, Postsecondary [25-1120]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
27-0000	Arts, Design, Entertainment, Sports, and Media Occupations	Arts, Design, Entertainment, Sports, and Media Occupations [27-0000]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
51-2000	Assemblers and Fabricators	Assemblers and Fabricators [51-2000]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
51-2099	Assemblers and Fabricators, All Other	Assemblers and Fabricators, All Other [51-2099]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
19-2011	Astronomers	Astronomers [19-2011]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
19-2010	Astronomers and Physicists	Astronomers and Physicists [19-2010]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
27-2021	Athletes and Sports Competitors	Athletes and Sports Competitors [27-2021]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
27-2020	Athletes, Coaches, Umpires, and Related Workers	Athletes, Coaches, Umpires, and Related Workers [27-2020]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
29-9091	Athletic Trainers	Athletic Trainers [29-9091]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
19-2020	Atmospheric and Space Scientists	Atmospheric and Space Scientists [19-2020]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
19-2021	Atmospheric and Space Scientists	Atmospheric and Space Scientists [19-2021]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
25-1051	Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary	Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary [25-1051]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
27-4011	Audio and Video Equipment Technicians	Audio and Video Equipment Technicians [27-4011]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
29-1121	Audiologists	Audiologists [29-1121]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
25-9010	Audio-Visual Collections Specialists	Audio-Visual Collections Specialists [25-9010]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
25-9011	Audio-Visual Collections Specialists	Audio-Visual Collections Specialists [25-9011]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
49-3021	Automotive Body and Related Repairers	Automotive Body and Related Repairers [49-3021]		2.16.840.1.113883.6.243	Occupation (SOC 2000)	PH_Occupation_SOC_2000	2000	SOC
