Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Occupation (Census)	PHVS_Occupation_Census	2.16.840.1.114222.4.11.6036	3	Coding system of United States Census Occupation Codes, published by the US Governmetn Bureau of the Census.  Doucmentation and Crosswalk mapping between the COC and the SOC and NAICS code systems available at http://www.census.gov/hhes/www/ioindex/view.html	Published	11/28/2012	Updated Occupation Census value set

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
0800	Accountants and auditors	Accountants and auditors (Management, Business, Science, and Arts Occupations)		2.16.840.1.113883.6.240	U.S. Census Occupation Code (2010)	PH_Occupation_Census	2010	US_COC
2700	Actors	Actors (Management, Business, Science, and Arts Occupations)		2.16.840.1.113883.6.240	U.S. Census Occupation Code (2010)	PH_Occupation_Census	2010	US_COC
1200	Actuaries	Actuaries (Management, Business, Science, and Arts Occupations)		2.16.840.1.113883.6.240	U.S. Census Occupation Code (2010)	PH_Occupation_Census	2010	US_COC
8850	Adhesive bonding machine operators and tenders	Adhesive bonding machine operators and tenders (Production, Transportation, and Material Moving Occupations)		2.16.840.1.113883.6.240	U.S. Census Occupation Code (2010)	PH_Occupation_Census	2010	US_COC
0100	Administrative services managers	Administrative services managers (Management, Business, Science, and Arts Occupations)		2.16.840.1.113883.6.240	U.S. Census Occupation Code (2010)	PH_Occupation_Census	2010	US_COC
0040	Advertising and promotions managers	Advertising and promotions managers (Management, Business, Science, and Arts Occupations)		2.16.840.1.113883.6.240	U.S. Census Occupation Code (2010)	PH_Occupation_Census	2010	US_COC
4800	Advertising sales agents	Advertising sales agents (Sales and Office Occupations)		2.16.840.1.113883.6.240	U.S. Census Occupation Code (2010)	PH_Occupation_Census	2010	US_COC
1320	Aerospace engineers	Aerospace engineers (Management, Business, Science, and Arts Occupations)		2.16.840.1.113883.6.240	U.S. Census Occupation Code (2010)	PH_Occupation_Census	2010	US_COC
0500	Agents and business managers of artists, performers, and athletes	Agents and business managers of artists, performers, and athletes (Management, Business, Science, and Arts Occupations)		2.16.840.1.113883.6.240	U.S. Census Occupation Code (2010)	PH_Occupation_Census	2010	US_COC
1900	Agricultural and food science technicians	Agricultural and food science technicians (Management, Business, Science, and Arts Occupations)		2.16.840.1.113883.6.240	U.S. Census Occupation Code (2010)	PH_Occupation_Census	2010	US_COC
1600	Agricultural and food scientists	Agricultural and food scientists (Management, Business, Science, and Arts Occupations)		2.16.840.1.113883.6.240	U.S. Census Occupation Code (2010)	PH_Occupation_Census	2010	US_COC
1330	Agricultural engineers	Agricultural engineers (Management, Business, Science, and Arts Occupations)		2.16.840.1.113883.6.240	U.S. Census Occupation Code (2010)	PH_Occupation_Census	2010	US_COC
6010	Agricultural inspectors	Agricultural inspectors (Natural Resources, Construction, and Maintenance Occupations)		2.16.840.1.113883.6.240	U.S. Census Occupation Code (2010)	PH_Occupation_Census	2010	US_COC
9040	Air traffic controllers and airfield operations specialists	Air traffic controllers and airfield operations specialists (Production, Transportation, and Material Moving Occupations)		2.16.840.1.113883.6.240	U.S. Census Occupation Code (2010)	PH_Occupation_Census	2010	US_COC
7140	Aircraft mechanics and service technicians	Aircraft mechanics and service technicians (Natural Resources, Construction, and Maintenance Occupations)		2.16.840.1.113883.6.240	U.S. Census Occupation Code (2010)	PH_Occupation_Census	2010	US_COC
