Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Organism (TBRD)	PHVS_Organism_TBRD	2.16.840.1.114222.4.11.7836	1	Species identified	Published	07/10/2018	Species identified

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
420364006	Anaplasma phagocytophilum (organism)	Anaplasma phagocytophilum		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
59250001	Ehrlichia chaffeensis (organism)	Ehrlichia chaffeensis		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
243360008	Ehrlichia ewingii (organism)	Ehrlichia ewingii		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
PHC2109	Ehrlichia muris eauclairensis	Ehrlichia muris eauclairensis		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
PHC2110	Ehrlichia/Anaplasma species	Ehrlichia/Anaplasma species		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
27334000	Genus Ehrlichia (organism)	Ehrlichia species		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
OTH	other	other		2.16.840.1.113883.5.1008	NullFlavor	PH_NullFlavor_HL7_V3	20090501	NULLFL
114218009	Rickettsia africae (organism)	Rickettsia africae		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
30769009	Rickettsia akari (organism)	Rickettsia akari		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
32691002	Rickettsia conorii (organism)	Rickettsia conorii		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
85738007	Rickettsia parkeri (organism)	Rickettsia parkeri		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
18054009	Rickettsia rickettsii (organism)	Rickettsia rickettsii		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
698215002	Rickettsia species 364D (organism)	Rickettsia sp 364D		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
415342003	Rickettsia, spotted fever group (organism)	Spotted fever group Rickettsia		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
