Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Original Specimen Source Site PHLIP (PLT212)	PHVS_OrigSpecimenSourceSite_PHLIP_PLT212	2.16.840.1.114222.4.11.5021	1	Valueset used for Salmonella ETOR pilot to describe the original specimen source ste	Published	08/29/2011	use for PHLISSA pilot testing

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
113345001	Abdominal structure (body structure)	Abdominal structure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
77568009	Back structure, excluding neck (body structure)	Back structure, excluding neck		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
12611008	Bone structure of tibia (body structure)	Bone structure of tibia		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
12738006	Brain structure (body structure)	Brain structure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
76752008	Breast structure (body structure)	Breast structure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
17401000	Cardiac valve structure (body structure)	Cardiac valve structure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
71252005	Cervix uteri structure (body structure)	Cervix uteri structure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
28726007	Corneal structure (body structure)	Corneal structure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
89545001	Face structure (body structure)	Face structure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
7569003	Finger structure (body structure)	Finger structure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
56459004	Foot structure (body structure)	Foot structure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
14975008	Forearm structure (body structure)	Forearm structure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
52795006	Forehead structure (body structure)	Forehead structure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
85562004	Hand structure (body structure)	Hand structure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
69536005	Head structure (body structure)	Head structure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
29836001	Hip region structure (body structure)	Hip region structure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
26893007	Inguinal region structure (body structure)	Inguinal region structure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
39352004	Joint structure (body structure)	Joint structure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
10200004	Liver structure (body structure)	Liver structure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
39607008	Lung structure (body structure)	Lung structure		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200301	SCT
