Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
PHIN Questions (Animal Rabies)	PHVS_PHINQuestions_AnimalRabies	2.16.840.1.114222.4.11.3050	1	PHIN Questions value set for Animal Rabies	Published	10/22/2008	Initial Load VADS 3.0

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
AR106	Age	Age		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
AR102	Bat Species	Bat Species		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
INV163	Case Class Status Code	Case Class Status Code		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
INV107	Case Jurisdiction	Jurisdiction Code		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
INV169	Condition Code	Condition Code		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
AR109	County	County		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
DEM113	Current Sex	Sex		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
NOT103	Date First Submitted	Date First Submitted		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
NOT106	Date of Report	Date of Report		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
INV111	Date of Report/Referral	Date of Report		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
INV145	Did the patient die from this condition?	Did the patient die from this illness		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
DEM197	Local Person ID	Local subject ID		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
NOT115	Message Profile ID	Message Profile ID		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
INV165	MMWR Week	MMWR Week		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
INV166	MMWR Year	MMWR Year		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
DEM100	Name Type	Patient name type		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
NOT116	National Reporting Jurisdiction	National Reporting Jurisdiction		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
NOT108	Notification ID	Notification ID		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
NOT099	Notification subject type	Subject Type		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
NOT101	Notification Type	Notification Type		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
AR101	Other Species	Other Species		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
AR103	Rabies Virus Variant Type	Rabies Virus Variant Type		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
AR104	Rabies Virus Variant Type - Other	Rabies Virus Variant Type Text		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
NOT114	Receiving Application	Receiving Application		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
INV168	Record ID	Local record ID		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
NOT109	Reporting State	Reporting State		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
AR100	Species	Species		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
AR110	State	State		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
INV173	State Case ID	State Case ID		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
AR105	Vaccine Status	Vaccine Status		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
