Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
PHIN Questions	PHVS_PHINQuestions_CDC	2.16.840.1.114222.4.11.883	10	Legacy PHIN Questions that are used as data element or observation identifer (OBX-3) in the HL7 messaging implementation guides.	Published	11/26/2013	Initial Import for : E982B3A0-607F-DD11-B38D-00188B398520

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
FDD_Q_16	(Domestic) Destination 1:	(Domestic) Destination 1:		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
FDD_Q_57	(Domestic) Destination 2	(Domestic) Destination 2		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
FDD_Q_62	(Domestic) Destination 3:	(Domestic) Destination 3:		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
FDD_Q_292	(International) Destination 1	(International) Destination 1		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
FDD_Q_293	(International) Destination 2	(International) Destination 2		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
FDD_Q_294	(International) Destination 3	(International) Destination 3		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
VAC135	13-Valent Pneumo Conjugate Vaccine	13-Valent Pneumo Conjugate Vaccine		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
VAC136	23-Valent Pneumo Poly Vaccine	23-Valent Pneumo Poly Vaccine		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
INV631	2nd or 3rd degree atrioventricular block	2nd or 3rd degree atrioventricular block		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
VAC134	7-Valent Pneumo Conjugate Vaccine	7-Valent Pneumo Conjugate Vaccine		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
TET123	Abcess/Cellulitus	Abcess/Cellulitus		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
INV879	Abdominal Pain or Cramps	Abdominal Pain/Cramps		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
TB243	Abnormal Chest X-ray evidence of a cavity	Abnormal Chest X-ray evidence of a cavity		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
TB244	Abnormal Chest X-ray evidence of Miliary TB	Abnormal Chest X-ray evidence of Miliary TB		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
TB246	Abnormal Initial Chest CT Scan or other chest Imaging Study - Evidence of a cavity	Abnormal Initial Chest CT Scan or other chest Imaging Study - Evidence of a cavity		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
TB247	Abnormal Initial Chest CT Scan or other chest Imaging Study - Evidence of a miliary TB	Abnormal Initial Chest CT Scan or other chest Imaging Study - Evidence of a miliary TB		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
FDD_Q_34	Acquired New Pet	Acquired New Pet		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
INV255	Acute Respiratory Distress Syndrome	Acute Respiratory Distress Syndrome		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
INV710	Acute Specimen	Acute Specimen		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
TET106	Acute wound	Acute wound		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
TET111	Acute wound anatomic site	Acute wound anatomic site		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
TET110	Acute wound circumstances	Acute wound circumstances		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
TET107	Acute wound date	Acute wound date		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
TET109	Acute wound environment	Acute wound environment		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
INV402	Acute Wound Identified	Acute Wound Identified		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
TET114	Acute wound medical care	Acute wound medical care		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
TET115	Acute wound medical care date	Acute wound medical care date		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
TET121	Acute wound signs of infection	Acute wound signs of infection		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
TET116	Acute wound tetanus toxiod administered	Acute wound tetanus toxiod administered		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
TET117	Acute wound tetanus toxiod administered date	Acute wound tetanus toxiod administered date		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
TET112	Acute wound type	Acute wound type		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
TET108	Acute wound work related	Acute wound work related		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
TB257	Additional TB Risk Factors	Additional TB Risk Factors		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
DEM175	Address Comments	Address Comments		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
LAB506	Address of organization collecting specimen	Address of organization collecting specimen		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
INV132	Admission Date	Admission Date		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
INV184	Admission Hospital ID	Admission Hospital ID		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
VAC114	Adult Recommended Doses	Adult Recommended Doses		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
ARB012	AFP	AFP		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
AR106	Age	Age		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
INV2001	Age at Case Investigation	Age at Case Investigation		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
INV2071	Age at Diagnosis	Age at Diagnosis		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
VAR151	Age at diagnosis	Age at diagnosis		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
INV2072	Age at diagnosis units	Age at diagnosis units		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
INV143	Age at Onset	Age at Onset		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
INV144	Age at Onset Units	Age at Onset Units		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
LAB180	Age at time of laboratory test	Age at time of laboratory test		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
VAC105	Age At Vaccination	Age At Vaccination		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
VAC106	Age At Vaccination Unit	Age At Vaccination Unit		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
SUM112	Age Group in years	Age Group in years		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
INV315	Age of Subject at time of immunity testing (in years)	Age of Subject at time of immunity testing (in years)		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
INV319	Age of the Subject at time of previous disease (in years)	Age of the Subject at time of previous disease (in years)		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
RUB129	Age of the woman at time of previous disease (in years)	Age of the woman at time of previous disease (in years)		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
RUB125	Age of woman at time of immunity testing (in years)	Age of woman at time of immunity testing (in years)		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
INV2002	Age Units at Case Investigation	Age Units at Case Investigation		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
LAB181	Age units at time of laboratory test	Age units at time of laboratory test		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
MUM128	Age, setting verified	Age, setting verified		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
DEM194	Alternate Contact Relationship	Alternate Contact Relationship		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
TB194	Amikacin final susceptibility	Amikacin final susceptibility		2.16.840.1.114222.4.5.232	PHIN Questions	PH_PHINQuestions_CDC	20200528	PHINQUESTION
