Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Participation Function (HL7)	PHVS_ParticipationFunction_HL7_V3	2.16.840.1.113883.1.11.10267	1		Published	03/26/2015	Initial Import for : 34796790-FED3-E411-8970-0017A477041A

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
ADMPHYS	admitting physician	admitting physician		2.16.840.1.113883.5.88	Participation Function (HL7)	PH_ParticipationFunction_HL7_V3	20130801	participationFunc
ANRS	anesthesia nurse	anesthesia nurse		2.16.840.1.113883.5.88	Participation Function (HL7)	PH_ParticipationFunction_HL7_V3	20130801	participationFunc
ANEST	anesthesist	anesthesist		2.16.840.1.113883.5.88	Participation Function (HL7)	PH_ParticipationFunction_HL7_V3	20130801	participationFunc
ATTPHYS	attending physician	attending physician		2.16.840.1.113883.5.88	Participation Function (HL7)	PH_ParticipationFunction_HL7_V3	20130801	participationFunc
DISPHYS	discharging physician	discharging physician		2.16.840.1.113883.5.88	Participation Function (HL7)	PH_ParticipationFunction_HL7_V3	20130801	participationFunc
FASST	first assistant surgeon	first assistant surgeon		2.16.840.1.113883.5.88	Participation Function (HL7)	PH_ParticipationFunction_HL7_V3	20130801	participationFunc
MDWF	midwife	midwife		2.16.840.1.113883.5.88	Participation Function (HL7)	PH_ParticipationFunction_HL7_V3	20130801	participationFunc
NASST	nurse assistant	nurse assistant		2.16.840.1.113883.5.88	Participation Function (HL7)	PH_ParticipationFunction_HL7_V3	20130801	participationFunc
PCP	primary care physician	primary care physician		2.16.840.1.113883.5.88	Participation Function (HL7)	PH_ParticipationFunction_HL7_V3	20130801	participationFunc
PRISURG	primary surgeon	primary surgeon		2.16.840.1.113883.5.88	Participation Function (HL7)	PH_ParticipationFunction_HL7_V3	20130801	participationFunc
RNDPHYS	rounding physician	rounding physician		2.16.840.1.113883.5.88	Participation Function (HL7)	PH_ParticipationFunction_HL7_V3	20130801	participationFunc
SNRS	scrub nurse	scrub nurse		2.16.840.1.113883.5.88	Participation Function (HL7)	PH_ParticipationFunction_HL7_V3	20130801	participationFunc
SASST	second assistant surgeon	second assistant surgeon		2.16.840.1.113883.5.88	Participation Function (HL7)	PH_ParticipationFunction_HL7_V3	20130801	participationFunc
TASST	third assistant surgeon	third assistant surgeon		2.16.840.1.113883.5.88	Participation Function (HL7)	PH_ParticipationFunction_HL7_V3	20130801	participationFunc
